location,table,tool,gt,metric,A,B_full,changed
表6,macro_name,syft,all,precision,92.6,92.6,
表6,macro_name,syft,all,recall,67.1,67.1,
表6,macro_name,syft,all,F1,73.0,73.0,
表6,macro_name,syft,imported,precision,55.6,55.6,
表6,macro_name,syft,imported,recall,99.9,99.9,
表6,macro_name,syft,imported,F1,67.0,67.0,
表6,macro_name,syft,imported+test,precision,68.6,68.6,
表6,macro_name,syft,imported+test,recall,99.9,99.9,
表6,macro_name,syft,imported+test,F1,78.3,78.3,
表6,macro_name,trivy,all,precision,92.3,92.3,
表6,macro_name,trivy,all,recall,67.0,67.0,
表6,macro_name,trivy,all,F1,72.5,72.5,
表6,macro_name,trivy,imported,precision,59.1,59.2,YES
表6,macro_name,trivy,imported,recall,99.9,99.9,
表6,macro_name,trivy,imported,F1,68.4,68.5,YES
表6,macro_name,trivy,imported+test,precision,72.9,72.9,
表6,macro_name,trivy,imported+test,recall,99.9,99.9,
表6,macro_name,trivy,imported+test,F1,79.7,79.8,YES
表6,macro_name,cdxgen,all,precision,94.5,94.5,
表6,macro_name,cdxgen,all,recall,42.4,42.4,
表6,macro_name,cdxgen,all,F1,52.8,52.8,
表6,macro_name,cdxgen,imported,precision,91.4,91.4,
表6,macro_name,cdxgen,imported,recall,99.8,99.8,
表6,macro_name,cdxgen,imported,F1,93.2,93.2,
表6,macro_name,cdxgen,imported+test,precision,92.2,92.3,YES
表6,macro_name,cdxgen,imported+test,recall,82.4,82.4,
表6,macro_name,cdxgen,imported+test,F1,82.3,82.3,
表6,macro_name,cyclonedx-gomod,all,precision,99.9,99.9,
表6,macro_name,cyclonedx-gomod,all,recall,43.5,43.5,
表6,macro_name,cyclonedx-gomod,all,F1,56.5,56.5,
表6,macro_name,cyclonedx-gomod,imported,precision,92.4,92.4,
表6,macro_name,cyclonedx-gomod,imported,recall,99.1,99.1,
表6,macro_name,cyclonedx-gomod,imported,F1,94.5,94.5,
表6,macro_name,cyclonedx-gomod,imported+test,precision,92.6,92.6,
表6,macro_name,cyclonedx-gomod,imported+test,recall,81.0,81.0,
表6,macro_name,cyclonedx-gomod,imported+test,F1,82.5,82.5,
表A.1,macro_version,syft,all,precision,91.1,91.1,
表A.1,macro_version,syft,all,recall,66.6,66.5,YES
表A.1,macro_version,syft,all,F1,72.1,72.1,
表A.1,macro_version,syft,imported,precision,54.8,54.9,YES
表A.1,macro_version,syft,imported,recall,99.9,99.9,
表A.1,macro_version,syft,imported,F1,66.3,66.3,
表A.1,macro_version,syft,imported+test,precision,67.8,67.8,
表A.1,macro_version,syft,imported+test,recall,99.9,99.9,
表A.1,macro_version,syft,imported+test,F1,77.5,77.5,
表A.1,macro_version,trivy,all,precision,90.9,90.9,
表A.1,macro_version,trivy,all,recall,66.4,66.4,
表A.1,macro_version,trivy,all,F1,71.6,71.6,
表A.1,macro_version,trivy,imported,precision,58.5,58.6,YES
表A.1,macro_version,trivy,imported,recall,99.9,99.9,
表A.1,macro_version,trivy,imported,F1,67.8,67.9,YES
表A.1,macro_version,trivy,imported+test,precision,72.1,72.2,YES
表A.1,macro_version,trivy,imported+test,recall,99.8,99.8,
表A.1,macro_version,trivy,imported+test,F1,79.1,79.1,
表A.1,macro_version,cdxgen,all,precision,93.5,93.5,
表A.1,macro_version,cdxgen,all,recall,41.9,42.0,YES
表A.1,macro_version,cdxgen,all,F1,52.2,52.2,
表A.1,macro_version,cdxgen,imported,precision,90.8,90.8,
表A.1,macro_version,cdxgen,imported,recall,99.7,99.7,
表A.1,macro_version,cdxgen,imported,F1,92.7,92.7,
表A.1,macro_version,cdxgen,imported+test,precision,91.6,91.6,
表A.1,macro_version,cdxgen,imported+test,recall,82.3,82.3,
表A.1,macro_version,cdxgen,imported+test,F1,81.8,81.8,
表A.1,macro_version,cyclonedx-gomod,all,precision,99.9,99.9,
表A.1,macro_version,cyclonedx-gomod,all,recall,43.5,43.5,
表A.1,macro_version,cyclonedx-gomod,all,F1,56.5,56.5,
表A.1,macro_version,cyclonedx-gomod,imported,precision,92.3,92.3,
表A.1,macro_version,cyclonedx-gomod,imported,recall,99.1,99.1,
表A.1,macro_version,cyclonedx-gomod,imported,F1,94.5,94.5,
表A.1,macro_version,cyclonedx-gomod,imported+test,precision,92.6,92.6,
表A.1,macro_version,cyclonedx-gomod,imported+test,recall,81.0,81.0,
表A.1,macro_version,cyclonedx-gomod,imported+test,F1,82.4,82.4,
表A.2,micro_name,syft,all,precision,84.9,84.9,
表A.2,micro_name,syft,all,recall,50.0,50.0,
表A.2,micro_name,syft,all,F1,62.9,62.9,
表A.2,micro_name,syft,imported,precision,53.0,53.0,
表A.2,micro_name,syft,imported,recall,99.8,99.8,
表A.2,micro_name,syft,imported,F1,69.2,69.2,
表A.2,micro_name,syft,imported+test,precision,57.5,57.5,
表A.2,micro_name,syft,imported+test,recall,99.8,99.8,
表A.2,micro_name,syft,imported+test,F1,73.0,73.0,
表A.2,micro_name,trivy,all,precision,84.4,84.4,
表A.2,micro_name,trivy,all,recall,48.1,48.1,
表A.2,micro_name,trivy,all,F1,61.3,61.3,
表A.2,micro_name,trivy,imported,precision,54.4,54.4,
表A.2,micro_name,trivy,imported,recall,99.8,99.8,
表A.2,micro_name,trivy,imported,F1,70.4,70.4,
表A.2,micro_name,trivy,imported+test,precision,59.2,59.2,
表A.2,micro_name,trivy,imported+test,recall,99.8,99.8,
表A.2,micro_name,trivy,imported+test,F1,74.3,74.3,
表A.2,micro_name,cdxgen,all,precision,88.2,88.2,
表A.2,micro_name,cdxgen,all,recall,33.1,33.1,
表A.2,micro_name,cdxgen,all,F1,48.2,48.2,
表A.2,micro_name,cdxgen,imported,precision,82.7,82.8,YES
表A.2,micro_name,cdxgen,imported,recall,99.8,99.8,
