tool,gt,match_type,B_as_is,scenario_emitted_main,scenario_no_main,min,max,rounded_unique
syft,all,name,72.939,72.939,72.945,72.9,72.9,yes
syft,all,version,72.010,72.010,72.016,72.0,72.0,yes
syft,imp,name,67.018,67.021,67.018,67.0,67.0,yes
syft,imp,version,66.313,66.317,66.313,66.3,66.3,yes
syft,impT,name,78.280,78.286,78.280,78.3,78.3,yes
syft,impT,version,77.507,77.513,77.507,77.5,77.5,yes
trivy,all,name,72.465,72.465,72.471,72.5,72.5,yes
trivy,all,version,71.555,71.555,71.561,71.6,71.6,yes
trivy,imp,name,68.450,68.453,68.450,68.5,68.5,yes
trivy,imp,version,67.871,67.874,67.871,67.9,67.9,yes
trivy,impT,name,79.760,79.766,79.760,79.8,79.8,yes
trivy,impT,version,79.115,79.121,79.115,79.1,79.1,yes
cdxgen,all,name,52.714,52.695,52.717,52.7,52.7,yes
cdxgen,all,version,52.195,52.176,52.198,52.2,52.2,yes
cdxgen,imp,name,93.247,93.180,93.247,93.2,93.2,yes
cdxgen,imp,version,92.732,92.665,92.732,92.7,92.7,yes
cdxgen,impT,name,82.287,82.265,82.287,82.3,82.3,yes
cdxgen,impT,version,81.803,81.781,81.803,81.8,81.8,yes
cyclonedx-gomod,all,name,56.514,56.495,56.517,56.5,56.5,yes
cyclonedx-gomod,all,version,56.472,56.453,56.475,56.5,56.5,yes
cyclonedx-gomod,imp,name,94.516,94.450,94.516,94.4,94.5,NO
cyclonedx-gomod,imp,version,94.455,94.389,94.455,94.4,94.5,NO
cyclonedx-gomod,impT,name,82.502,82.479,82.502,82.5,82.5,yes
cyclonedx-gomod,impT,version,82.441,82.419,82.441,82.4,82.4,yes
