repo,tool,column,july,cold_emptymain,reproduces_july,corrected_value
Lifailon__lazyjournal,syft,n_all_tp,12,12,yes,11
Lifailon__lazyjournal,syft,n_imp_fp,2,2,yes,1
Lifailon__lazyjournal,syft,n_impT_fp,2,2,yes,1
Lifailon__lazyjournal,syft,v_all_tp,12,12,yes,11
Lifailon__lazyjournal,syft,v_imp_fp,2,2,yes,1
Lifailon__lazyjournal,syft,v_impT_fp,2,2,yes,1
Lifailon__lazyjournal,trivy,n_all_tp,11,11,yes,10
Lifailon__lazyjournal,trivy,n_imp_fp,1,1,yes,0
Lifailon__lazyjournal,trivy,n_impT_fp,1,1,yes,0
Lifailon__lazyjournal,trivy,v_all_tp,11,11,yes,10
Lifailon__lazyjournal,trivy,v_imp_fp,1,1,yes,0
Lifailon__lazyjournal,trivy,v_impT_fp,1,1,yes,0
Lifailon__lazyjournal,cdxgen,n_all_fn,11,11,yes,10
Lifailon__lazyjournal,cdxgen,v_all_fn,11,11,yes,10
Lifailon__lazyjournal,cyclonedx-gomod,n_all_fn,11,11,yes,10
Lifailon__lazyjournal,cyclonedx-gomod,v_all_fn,11,11,yes,10
antonmedv__fx,syft,n_all_tp,41,41,yes,40
antonmedv__fx,syft,n_imp_fp,13,13,yes,12
antonmedv__fx,syft,n_impT_fp,7,7,yes,6
antonmedv__fx,syft,v_all_tp,41,41,yes,40
antonmedv__fx,syft,v_imp_fp,13,13,yes,12
antonmedv__fx,syft,v_impT_fp,7,7,yes,6
antonmedv__fx,trivy,n_all_tp,37,37,yes,36
antonmedv__fx,trivy,n_imp_fp,9,9,yes,8
antonmedv__fx,trivy,n_impT_fp,3,3,yes,2
antonmedv__fx,trivy,v_all_tp,37,37,yes,36
antonmedv__fx,trivy,v_imp_fp,9,9,yes,8
antonmedv__fx,trivy,v_impT_fp,3,3,yes,2
antonmedv__fx,cdxgen,n_all_fn,30,30,yes,29
antonmedv__fx,cdxgen,v_all_fn,30,30,yes,29
antonmedv__fx,cyclonedx-gomod,n_all_fn,28,28,yes,27
antonmedv__fx,cyclonedx-gomod,v_all_fn,28,28,yes,27
box-cli-maker__box-cli-maker,syft,n_all_tp,13,13,yes,12
box-cli-maker__box-cli-maker,syft,n_imp_fp,2,2,yes,1
box-cli-maker__box-cli-maker,syft,n_impT_fp,2,2,yes,1
box-cli-maker__box-cli-maker,syft,v_all_tp,13,13,yes,12
box-cli-maker__box-cli-maker,syft,v_imp_fp,2,2,yes,1
