repo,tool,forced_scenario,reason
homedepot__flop,syft,emitted_main,all の FN=0 のため FN-1 が不可能
homedepot__flop,trivy,emitted_main,all の FN=0 のため FN-1 が不可能
homedepot__flop,cdxgen,no_main,imported の FP=0 のため FP-1 が不可能
homedepot__flop,cyclonedx-gomod,no_main,imported の FP=0 のため FP-1 が不可能
