github.com/schollz/progressbar/v3
github.com/chengxilo/virtualterm v1.0.4
github.com/davecgh/go-spew v1.1.1
github.com/k0kubun/go-ansi v0.0.0-20180517002512-3bf9e2903213
github.com/mattn/go-isatty v0.0.20
github.com/mattn/go-runewidth v0.0.16
github.com/mitchellh/colorstring v0.0.0-20190213212951-d06e56a500db
github.com/pmezard/go-difflib v1.0.0
github.com/rivo/uniseg v0.4.7
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.9.0
golang.org/x/sys v0.29.0
golang.org/x/term v0.28.0
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.1
