Cloning into '/home/user/SBOM/work/checkr__flagr'...
go: downloading go1.26.0 (linux/amd64)
go: downloading github.com/go-openapi/strfmt v0.24.0
go: downloading github.com/davecgh/go-spew v1.1.2-0.20180830191138-d8f796af33cc
go: downloading github.com/pmezard/go-difflib v1.0.1-0.20181226105442-5d4384ee4fb2
go: downloading github.com/dchest/uniuri v1.2.0
go: downloading github.com/spf13/cast v1.10.0
go: downloading github.com/go-openapi/loads v0.23.1
go: downloading github.com/jessevdk/go-flags v1.5.0
go: downloading github.com/go-openapi/errors v0.22.3
go: downloading github.com/go-openapi/swag/jsonutils v0.25.1
go: downloading github.com/go-openapi/swag/typeutils v0.25.1
go: downloading github.com/go-openapi/swag v0.25.1
go: downloading github.com/go-openapi/validate v0.25.0
go: downloading github.com/go-openapi/runtime v0.29.0
go: downloading github.com/go-openapi/swag/netutils v0.25.1
go: downloading golang.org/x/net v0.55.0
go: downloading github.com/go-openapi/spec v0.22.0
go: downloading github.com/go-openapi/swag/cmdutils v0.25.1
go: downloading github.com/avast/retry-go v3.0.0+incompatible
go: downloading github.com/go-openapi/swag/conv v0.25.1
go: downloading github.com/glebarez/sqlite v1.6.0
go: downloading github.com/zhouzhuojie/conditions v0.2.6
go: downloading gorm.io/driver/mysql v1.4.5
go: downloading gorm.io/driver/postgres v1.4.6
go: downloading github.com/DataDog/datadog-go v4.8.3+incompatible
go: downloading gorm.io/gorm v1.24.3
go: downloading github.com/auth0/go-jwt-middleware v1.0.2-0.20210804140707-b4090e955b98
go: downloading github.com/caarlos0/env v3.5.0+incompatible
go: downloading cloud.google.com/go/pubsub/v2 v2.0.0
go: downloading github.com/evalphobia/logrus_sentry v0.8.2
go: downloading github.com/form3tech-oss/jwt-go v3.2.5+incompatible
go: downloading github.com/Shopify/sarama v1.38.0
go: downloading github.com/getsentry/raven-go v0.2.0
go: downloading github.com/a8m/kinesis-producer v0.2.1-0.20240916120605-7e5fa98d32a5
go: downloading github.com/gohttp/pprof v0.0.0-20141119085724-c9d246cbb3ba
go: downloading cloud.google.com/go v0.123.0
go: downloading github.com/meatballhat/negroni-logrus v1.1.1
go: downloading github.com/aws/aws-sdk-go-v2/config v1.32.5
go: downloading github.com/newrelic/go-agent v2.1.0+incompatible
go: downloading github.com/aws/aws-sdk-go-v2 v1.41.0
go: downloading github.com/aws/aws-sdk-go-v2/service/kinesis v1.42.3
go: downloading github.com/phyber/negroni-gzip v1.0.0
go: downloading github.com/brandur/simplebox v0.1.0
go: downloading github.com/prometheus/client_golang v1.20.4
go: downloading github.com/bsm/ratelimit v2.0.0+incompatible
go: downloading github.com/zhouzhuojie/withtimeout v0.0.0-20190405051827-12b39eb2edd5
go: downloading google.golang.org/api v0.257.0
go: downloading github.com/rs/cors v1.11.1
go: downloading github.com/urfave/negroni v1.0.0
go: downloading github.com/yadvendar/negroni-newrelic-go-agent v0.0.0-20160803090806-3dc58758cb67
go: downloading gopkg.in/DataDog/dd-trace-go.v1 v1.46.0
go: downloading golang.org/x/sys v0.45.0
go: downloading github.com/asaskevich/govalidator v0.0.0-20230301143203-a9d515a09cc2
go: downloading github.com/google/uuid v1.6.0
go: downloading github.com/oklog/ulid v1.3.1
go: downloading go.mongodb.org/mongo-driver v1.17.4
go: downloading github.com/go-openapi/analysis v0.24.0
go: downloading github.com/go-openapi/swag/loading v0.25.1
go: downloading github.com/go-openapi/swag/yamlutils v0.25.1
go: downloading github.com/go-openapi/swag/fileutils v0.25.1
go: downloading github.com/go-openapi/swag/stringutils v0.25.1
go: downloading github.com/docker/go-units v0.5.0
go: downloading github.com/go-openapi/jsonpointer v0.22.1
