github.com/davecgh/go-spew	v1.1.1
github.com/golang/glog	v1.2.5
github.com/google/go-cmp	v0.6.0
github.com/gookit/assert	v0.1.1
github.com/gookit/color	v1.6.1
github.com/gookit/goutil	v0.8.0
github.com/gookit/gsr	v0.1.1
github.com/gookit/rotatefile	v0.3.0
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.19
github.com/phuslu/log	v1.0.119
github.com/pmezard/go-difflib	v1.0.0
github.com/rs/zerolog	v1.34.0
github.com/sirupsen/logrus	v1.9.3
github.com/stretchr/testify	v1.8.1
github.com/syyongx/llog	v0.0.0-20200222114215-e8f9f86ac0a3
github.com/valyala/bytebufferpool	v1.0.0
github.com/xo/terminfo	v0.0.0-20220910002029-abceb7e1c41e
go.uber.org/goleak	v1.3.0
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.27.0
golang.org/x/exp	v0.0.0-20220909182711-5c715a9e8561
golang.org/x/sync	v0.11.0
golang.org/x/sys	v0.30.0
golang.org/x/term	v0.29.0
golang.org/x/text	v0.22.0
gopkg.in/natefinch/lumberjack.v2	v2.2.1
gopkg.in/yaml.v3	v3.0.1
slog_example	
