github.com/nkmr-jp/zl
github.com/davecgh/go-spew v1.1.1
github.com/kr/text v0.2.0
github.com/logrusorgru/aurora/v4 v4.0.0
github.com/pmezard/go-difflib v1.0.0
github.com/samber/lo v1.52.0
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.11.1
go.uber.org/goleak v1.3.0
go.uber.org/multierr v1.11.0
go.uber.org/zap v1.27.1
golang.org/x/mod v0.30.0
golang.org/x/sync v0.19.0
golang.org/x/text v0.32.0
golang.org/x/tools v0.39.0
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/natefinch/lumberjack.v2 v2.2.1
gopkg.in/yaml.v3 v3.0.1
