github.com/cespare/xxhash/v2	v2.3.0
github.com/davecgh/go-spew	v1.1.1
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/google/go-cmp	v0.7.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/opentracing/opentracing-go	v1.2.0
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.14.1
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.11.1
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/otel	v1.43.0
go.opentelemetry.io/otel/metric	v1.43.0
go.opentelemetry.io/otel/trace	v1.43.0
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
