Cloning into '/home/user/SBOM/work/mudler__LocalAI'...
go: downloading github.com/ebitengine/purego v0.10.0
go: downloading github.com/go-audio/audio v1.0.0
go: downloading github.com/go-skynet/go-llama.cpp v0.0.0-20240314183750-6a8041ef6b46
go: downloading github.com/go-audio/wav v1.1.0
go: downloading github.com/mudler/xlog v0.0.6
go: downloading github.com/mudler/go-piper v0.0.0-20241023091659-2494246fd9fc
go: downloading github.com/streamer45/silero-vad-go v0.2.1
go: downloading github.com/alecthomas/kong v1.15.0
go: downloading fyne.io/fyne/v2 v2.7.3
go: downloading github.com/gpustack/gguf-parser-go v0.24.0
go: downloading github.com/mholt/archiver/v3 v3.5.1
go: downloading github.com/modelcontextprotocol/go-sdk v1.5.0
go: downloading github.com/mudler/LocalAGI v0.0.0-20260606071251-14aed1ae4336
go: downloading github.com/phayes/freeport v0.0.0-20220201140144-74d24b5ae9f5
go: downloading github.com/mudler/edgevpn v0.34.0
go: downloading gorm.io/gorm v1.31.1
go: downloading github.com/mudler/cogito v0.9.5-0.20260315222927-63abdec7189b
go: downloading github.com/charmbracelet/glamour v1.0.0
go: downloading github.com/schollz/progressbar/v3 v3.19.0
go: downloading github.com/gofrs/flock v0.13.0
go: downloading github.com/lithammer/fuzzysearch v1.1.8
go: downloading github.com/otiai10/copy v1.14.1
go: downloading github.com/Masterminds/sprig/v3 v3.3.0
go: downloading github.com/labstack/echo/v4 v4.15.1
go: downloading github.com/microcosm-cc/bluemonday v1.0.27
go: downloading github.com/gorilla/websocket v1.5.4-0.20250319132907-e064f32e3674
go: downloading github.com/pion/rtp v1.10.1
go: downloading github.com/coreos/go-oidc/v3 v3.18.0
go: downloading github.com/pion/webrtc/v4 v4.2.11
go: downloading github.com/timbutler/zxcvbn v1.0.4
go: downloading github.com/mudler/skillserver v0.0.7-0.20260520220837-a7317cbf9145
go: downloading gorm.io/driver/postgres v1.6.0
go: downloading github.com/emirpasic/gods/v2 v2.0.0-alpha
go: downloading github.com/swaggo/echo-swagger v1.5.2
go: downloading github.com/ipfs/go-log v1.0.5
go: downloading github.com/emirpasic/gods v1.18.1
go: downloading github.com/libp2p/go-libp2p v0.48.0
go: downloading github.com/multiformats/go-multiaddr v0.16.1
go: downloading golang.org/x/net v0.54.0
go: downloading github.com/klauspost/compress v1.18.6
go: downloading google.golang.org/genproto/googleapis/rpc v0.0.0-20260209200024-4cfbd4190f57
go: downloading github.com/nats-io/nats.go v1.52.0
go: downloading github.com/nats-io/nkeys v0.4.15
go: downloading github.com/dhowden/tag v0.0.0-20240417053706-3d75831295e8
go: downloading github.com/go-audio/riff v1.0.0
go: downloading github.com/godbus/dbus/v5 v5.1.0
go: downloading github.com/rymdport/portal v0.4.2
go: downloading github.com/swaggo/swag v1.16.6
go: downloading github.com/go-text/typesetting v0.3.3
go: downloading github.com/yuin/goldmark v1.7.13
go: downloading golang.org/x/image v0.38.0
go: downloading github.com/aws/aws-sdk-go-v2/config v1.32.16
go: downloading github.com/aws/aws-sdk-go-v2/credentials v1.19.17
go: downloading github.com/aws/aws-sdk-go-v2/service/s3 v1.99.1
go: downloading github.com/onsi/ginkgo/v2 v2.29.0
go: downloading github.com/onsi/gomega v1.41.0
go: downloading github.com/testcontainers/testcontainers-go v0.42.0
go: downloading github.com/testcontainers/testcontainers-go/modules/postgres v0.42.0
go: downloading github.com/hpcloud/tail v1.0.0
go: downloading github.com/mudler/go-processmanager v0.1.1
go: downloading github.com/jaypipes/ghw v0.24.0
go: downloading github.com/klauspost/cpuid/v2 v2.3.0
go: downloading github.com/mudler/memory v0.0.0-20260406210934-424c1ecf2cf8
go: downloading github.com/andybalholm/brotli v1.2.0
go: downloading github.com/dsnet/compress v0.0.2-0.20210315054119-f66993602bf5
go: downloading github.com/golang/snappy v0.0.5-0.20231225225746-43d5d4cd4e0e
go: downloading github.com/klauspost/pgzip v1.2.6
go: downloading github.com/nwaples/rardecode v1.1.0
go: downloading github.com/pierrec/lz4/v4 v4.1.8
go: downloading github.com/ulikunitz/xz v0.5.14
go: downloading github.com/xi2/xz v0.0.0-20171230120015-48954b6210f8
go: downloading golang.org/x/exp v0.0.0-20260410095643-746e56fc9e2f
go: downloading github.com/google/go-containerregistry v0.21.6
go: downloading github.com/containerd/containerd v1.7.31
go: downloading github.com/docker/docker v28.5.2+incompatible
go: downloading oras.land/oras-go/v2 v2.6.0
go: downloading github.com/nats-io/jwt/v2 v2.7.4
go: downloading github.com/jinzhu/now v1.1.5
go: downloading github.com/sigstore/sigstore-go v1.1.4
go: downloading github.com/peterbourgon/diskv v2.0.1+incompatible
go: downloading github.com/muesli/termenv v0.16.0
go: downloading github.com/yuin/goldmark-emoji v1.0.6
go: downloading github.com/rivo/uniseg v0.4.7
go: downloading github.com/mitchellh/colorstring v0.0.0-20190213212951-d06e56a500db
go: downloading github.com/Masterminds/semver/v3 v3.4.0
go: downloading github.com/huandu/xstrings v1.5.0
go: downloading github.com/mitchellh/copystructure v1.2.0
go: downloading github.com/shopspring/decimal v1.4.0
go: downloading github.com/labstack/gommon v0.4.2
go: downloading github.com/valyala/fasttemplate v1.2.2
go: downloading github.com/go-jose/go-jose/v4 v4.1.4
go: downloading github.com/pion/randutil v0.1.0
go: downloading github.com/blevesearch/bleve/v2 v2.5.7
go: downloading github.com/pion/datachannel v1.6.0
go: downloading github.com/pion/dtls/v3 v3.1.2
go: downloading github.com/pion/ice/v4 v4.2.2
go: downloading github.com/pion/interceptor v0.1.44
go: downloading github.com/pion/logging v0.2.4
go: downloading github.com/pion/rtcp v1.2.16
go: downloading github.com/pion/sctp v1.9.4
go: downloading github.com/pion/sdp/v3 v3.0.18
go: downloading github.com/pion/srtp/v3 v3.0.10
go: downloading github.com/pion/stun/v3 v3.1.1
go: downloading github.com/pion/transport/v4 v4.0.1
go: downloading github.com/swaggo/files/v2 v2.0.2
go: downloading github.com/swaggo/swag/v2 v2.0.0-rc4
go: downloading sigs.k8s.io/yaml v1.6.0
go: downloading github.com/tklauser/go-sysconf v0.3.16
go: downloading github.com/libp2p/go-libp2p-kad-dht v0.40.0
go: downloading github.com/mudler/water v0.0.0-20250808092830-dd90dcf09025
go: downloading go.uber.org/zap v1.28.0
go: downloading github.com/hashicorp/golang-lru v1.0.2
go: downloading github.com/miekg/dns v1.1.72
go: downloading github.com/gofiber/fiber/v2 v2.52.13
go: downloading github.com/valyala/fasthttp v1.68.0
go: downloading github.com/c-robinson/iplib v1.0.8
go: downloading github.com/ipfs/go-log/v2 v2.9.2
go: downloading github.com/mudler/localrecall v0.6.3-0.20260606070048-9a3b3321a9cd
go: downloading github.com/ipfs/go-cid v0.6.1
go: downloading github.com/multiformats/go-multibase v0.3.0
go: downloading github.com/multiformats/go-multihash v0.2.3
go: downloading github.com/multiformats/go-varint v0.1.0
go: downloading github.com/nats-io/nuid v1.0.1
go: downloading github.com/mr-tron/base58 v1.3.0
