github.com/davecgh/go-spew	v1.1.1
github.com/gorilla/websocket	v1.4.2
github.com/kr/text	v0.2.0
github.com/pmezard/go-difflib	v1.0.0
github.com/samber/lo	v1.52.0
github.com/samber/lo	v1.53.0
github.com/samber/slog-common	v0.20.0
github.com/samber/slog-common	v0.22.0
github.com/samber/slog-multi/examples/failover	
github.com/samber/slog-multi/examples/fanout	
github.com/samber/slog-multi/examples/firstmatch	
github.com/samber/slog-multi/examples/pipe	
github.com/samber/slog-multi/examples/pool	
github.com/samber/slog-multi/examples/router	
github.com/samber/slog-slack	v1.0.0
github.com/slack-go/slack	v0.12.1
github.com/stretchr/testify	v1.11.1
go.uber.org/goleak	v1.3.0
golang.org/x/text	v0.22.0
gopkg.in/yaml.v3	v3.0.1
