repo,tool,n_all_tp,n_all_fp,n_all_fn,n_imp_tp,n_imp_fp,n_imp_fn,n_impT_tp,n_impT_fp,n_impT_fn,v_all_tp,v_all_fp,v_all_fn,v_imp_tp,v_imp_fp,v_imp_fn,v_impT_tp,v_impT_fp,v_impT_fn,fp_test,fp_otherOS,fp_direct_unused,fp_indirect_unused,fp_gosum_only,fp_sibling
rulego__streamsql,syft,6,0,1,1,5,0,5,1,0,6,0,1,1,5,0,5,1,0,4,0,0,0,1,0
rulego__streamsql,trivy,5,0,2,1,4,0,5,0,0,5,0,2,1,4,0,5,0,0,4,0,0,0,0,0
rulego__streamsql,cdxgen,1,0,6,1,0,0,1,0,4,1,0,6,1,0,0,1,0,4,0,0,0,0,0,0
rulego__streamsql,cyclonedx-gomod,1,0,6,1,0,0,1,0,4,1,0,6,1,0,0,1,0,4,0,0,0,0,0,0
olivere__elastic,syft,26,8,27,13,21,0,15,19,0,24,11,29,13,22,0,15,20,0,2,0,0,2,0,17
olivere__elastic,trivy,20,9,33,13,16,0,15,14,0,18,12,35,13,17,0,15,15,0,2,0,0,2,0,12
olivere__elastic,cdxgen,20,9,33,13,16,0,15,14,0,18,12,35,13,17,0,15,15,0,2,0,0,2,0,12
olivere__elastic,cyclonedx-gomod,13,0,40,13,0,0,13,0,2,13,0,40,13,0,0,13,0,2,0,0,0,0,0,0
andy2046__failured,syft,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
andy2046__failured,trivy,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
andy2046__failured,cdxgen,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
andy2046__failured,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
didip__tollbooth,syft,6,0,0,1,5,0,1,5,0,6,0,0,1,5,0,1,5,0,0,0,0,0,5,0
didip__tollbooth,trivy,6,0,0,1,5,0,1,5,0,6,0,0,1,5,0,1,5,0,0,0,0,0,5,0
didip__tollbooth,cdxgen,1,0,5,1,0,0,1,0,0,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0
didip__tollbooth,cyclonedx-gomod,1,0,5,1,0,0,1,0,0,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0
ClickHouse__clickhouse-go,syft,77,0,28,55,22,0,56,21,0,77,0,28,55,22,0,56,21,0,1,4,0,3,14,0
ClickHouse__clickhouse-go,trivy,63,0,42,55,8,0,56,7,0,63,0,42,55,8,0,56,7,0,1,4,0,3,0,0
ClickHouse__clickhouse-go,cdxgen,55,0,50,55,0,0,55,0,1,55,0,50,55,0,0,55,0,1,0,0,0,0,0,0
ClickHouse__clickhouse-go,cyclonedx-gomod,62,0,43,55,7,0,55,7,1,62,0,43,55,7,0,55,7,1,0,4,0,3,0,0
abice__go-enum,syft,39,0,10,23,16,0,29,10,0,39,0,10,23,16,0,29,10,0,6,0,3,2,5,0
abice__go-enum,trivy,35,0,14,23,12,0,29,6,0,35,0,14,23,12,0,29,6,0,6,0,3,2,1,0
abice__go-enum,cdxgen,23,0,26,23,0,0,23,0,6,23,0,26,23,0,0,23,0,6,0,0,0,0,0,0
abice__go-enum,cyclonedx-gomod,27,0,22,23,4,0,24,3,5,27,0,22,23,4,0,24,3,5,1,0,2,1,0,0
jeroenrinzema__psql-wire,syft,19,0,9,10,9,0,11,8,0,19,0,9,10,9,0,11,8,0,1,0,0,5,3,0
jeroenrinzema__psql-wire,trivy,16,0,12,10,6,0,11,5,0,16,0,12,10,6,0,11,5,0,1,0,0,5,0,0
jeroenrinzema__psql-wire,cdxgen,10,0,18,10,0,0,10,0,1,10,0,18,10,0,0,10,0,1,0,0,0,0,0,0
jeroenrinzema__psql-wire,cyclonedx-gomod,10,0,18,7,3,3,7,3,4,10,0,18,7,3,3,7,3,4,0,0,0,3,0,0
xhd2015__xgo,syft,1,135,0,1,135,0,1,135,0,1,158,0,1,158,0,1,158,0,0,0,0,0,0,135
xhd2015__xgo,trivy,1,123,0,1,123,0,1,123,0,1,141,0,1,141,0,1,141,0,0,0,0,0,0,123
xhd2015__xgo,cdxgen,NA
xhd2015__xgo,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
galeone__rts,syft,5,0,1,2,3,0,2,3,0,5,0,1,2,3,0,2,3,0,0,0,0,1,2,0
galeone__rts,trivy,3,0,3,2,1,0,2,1,0,3,0,3,2,1,0,2,1,0,0,0,0,1,0,0
galeone__rts,cdxgen,2,0,4,2,0,0,2,0,0,2,0,4,2,0,0,2,0,0,0,0,0,0,0,0
galeone__rts,cyclonedx-gomod,2,0,4,2,0,0,2,0,0,2,0,4,2,0,0,2,0,0,0,0,0,0,0,0
rubyist__circuitbreaker,syft,3,0,0,2,1,0,3,0,0,3,0,0,2,1,0,3,0,0,1,0,0,0,0,0
rubyist__circuitbreaker,trivy,3,0,0,2,1,0,3,0,0,3,0,0,2,1,0,3,0,0,1,0,0,0,0,0
rubyist__circuitbreaker,cdxgen,2,0,1,2,0,0,2,0,1,2,0,1,2,0,0,2,0,1,0,0,0,0,0,0
rubyist__circuitbreaker,cyclonedx-gomod,2,0,1,2,0,0,2,0,1,2,0,1,2,0,0,2,0,1,0,0,0,0,0,0
rafaelespinoza__godfish,syft,58,0,10,23,35,0,23,35,0,58,0,10,23,35,0,23,35,0,0,2,0,0,33,0
rafaelespinoza__godfish,trivy,25,0,43,23,2,0,23,2,0,25,0,43,23,2,0,23,2,0,0,2,0,0,0,0
rafaelespinoza__godfish,cdxgen,23,0,45,23,0,0,23,0,0,23,0,45,23,0,0,23,0,0,0,0,0,0,0,0
rafaelespinoza__godfish,cyclonedx-gomod,25,0,43,23,2,0,23,2,0,25,0,43,23,2,0,23,2,0,0,2,0,0,0,0
nats-io__nats-server,syft,11,0,12,9,2,0,10,1,0,11,0,12,9,2,0,10,1,0,1,1,0,0,0,0
nats-io__nats-server,trivy,11,0,12,9,2,0,10,1,0,11,0,12,9,2,0,10,1,0,1,1,0,0,0,0
nats-io__nats-server,cdxgen,9,0,14,9,0,0,9,0,1,9,0,14,9,0,0,9,0,1,0,0,0,0,0,0
nats-io__nats-server,cyclonedx-gomod,10,0,13,9,1,0,9,1,1,10,0,13,9,1,0,9,1,1,0,1,0,0,0,0
ssgreg__journald,syft,4,0,0,1,3,0,4,0,0,4,0,0,1,3,0,4,0,0,3,0,0,0,0,0
ssgreg__journald,trivy,4,0,0,1,3,0,4,0,0,4,0,0,1,3,0,4,0,0,3,0,0,0,0,0
ssgreg__journald,cdxgen,1,0,3,1,0,0,1,0,3,1,0,3,1,0,0,1,0,3,0,0,0,0,0,0
ssgreg__journald,cyclonedx-gomod,1,0,3,1,0,0,1,0,3,1,0,3,1,0,0,1,0,3,0,0,0,0,0,0
kisielk__errcheck,syft,4,0,4,3,1,0,3,1,0,4,0,4,3,1,0,3,1,0,0,0,0,0,1,0
kisielk__errcheck,trivy,3,0,5,3,0,0,3,0,0,3,0,5,3,0,0,3,0,0,0,0,0,0,0,0
kisielk__errcheck,cdxgen,3,0,5,3,0,0,3,0,0,3,0,5,3,0,0,3,0,0,0,0,0,0,0,0
kisielk__errcheck,cyclonedx-gomod,3,0,5,3,0,0,3,0,0,3,0,5,3,0,0,3,0,0,0,0,0,0,0,0
i25959341__orderbook,syft,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0
i25959341__orderbook,trivy,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0
i25959341__orderbook,cdxgen,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0
i25959341__orderbook,cyclonedx-gomod,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0
essentialkaos__branca,syft,6,0,7,2,4,0,6,0,0,6,0,7,2,4,0,6,0,0,4,0,0,0,0,0
essentialkaos__branca,trivy,6,0,7,2,4,0,6,0,0,6,0,7,2,4,0,6,0,0,4,0,0,0,0,0
essentialkaos__branca,cdxgen,2,0,11,2,0,0,2,0,4,2,0,11,2,0,0,2,0,4,0,0,0,0,0,0
essentialkaos__branca,cyclonedx-gomod,2,0,11,2,0,0,2,0,4,2,0,11,2,0,0,2,0,4,0,0,0,0,0,0
go-gorm__gorm,syft,6,37,2,3,40,0,5,38,0,5,40,3,3,42,0,5,40,0,2,0,0,0,0,38
go-gorm__gorm,trivy,6,23,2,3,26,0,5,24,0,5,26,3,3,28,0,5,26,0,2,0,0,0,0,24
go-gorm__gorm,cdxgen,3,0,5,3,0,0,3,0,2,3,0,5,3,0,0,3,0,2,0,0,0,0,0,0
go-gorm__gorm,cyclonedx-gomod,3,0,5,3,0,0,3,0,2,3,0,5,3,0,0,3,0,2,0,0,0,0,0,0
adelowo__gulter,syft,51,0,11,36,15,0,42,9,0,51,0,11,36,15,0,42,9,0,6,1,0,0,8,0
adelowo__gulter,trivy,43,0,19,36,7,0,42,1,0,43,0,19,36,7,0,42,1,0,6,1,0,0,0,0
adelowo__gulter,cdxgen,36,0,26,36,0,0,36,0,6,36,0,26,36,0,0,36,0,6,0,0,0,0,0,0
adelowo__gulter,cyclonedx-gomod,37,0,25,36,1,0,36,1,6,37,0,25,36,1,0,36,1,6,0,1,0,0,0,0
otiai10__copy,syft,3,0,0,2,1,0,3,0,0,3,0,0,2,1,0,3,0,0,1,0,0,0,0,0
otiai10__copy,trivy,3,0,0,2,1,0,3,0,0,3,0,0,2,1,0,3,0,0,1,0,0,0,0,0
otiai10__copy,cdxgen,2,0,1,2,0,0,2,0,1,2,0,1,2,0,0,2,0,1,0,0,0,0,0,0
otiai10__copy,cyclonedx-gomod,3,0,0,2,1,0,3,0,0,3,0,0,2,1,0,3,0,0,1,0,0,0,0,0
ironsmile__euterpe,syft,41,0,50,16,25,0,18,23,0,41,0,50,16,25,0,18,23,0,2,0,1,10,12,0
ironsmile__euterpe,trivy,29,0,62,16,13,0,18,11,0,29,0,62,16,13,0,18,11,0,2,0,1,10,0,0
ironsmile__euterpe,cdxgen,29,0,62,16,13,0,18,11,0,29,0,62,16,13,0,18,11,0,2,0,1,10,0,0
ironsmile__euterpe,cyclonedx-gomod,23,0,68,16,7,0,16,7,2,23,0,68,16,7,0,16,7,2,0,0,1,6,0,0
wabarc__wayback,syft,200,0,208,140,60,0,140,60,0,200,0,208,140,60,0,140,60,0,0,1,2,35,22,0
wabarc__wayback,trivy,178,0,230,140,38,0,140,38,0,178,0,230,140,38,0,140,38,0,0,1,2,35,0,0
wabarc__wayback,cdxgen,140,0,268,140,0,0,140,0,0,140,0,268,140,0,0,140,0,0,0,0,0,0,0,0
wabarc__wayback,cyclonedx-gomod,178,0,230,140,38,0,140,38,0,178,0,230,140,38,0,140,38,0,0,1,2,35,0,0
liweiyi88__onedump,syft,96,1,52,73,24,0,79,18,0,96,1,52,73,24,0,79,18,0,6,2,0,0,15,1
liweiyi88__onedump,trivy,81,0,67,73,8,0,79,2,0,81,0,67,73,8,0,79,2,0,6,2,0,0,0,0
liweiyi88__onedump,cdxgen,73,0,75,73,0,0,73,0,6,73,0,75,73,0,0,73,0,6,0,0,0,0,0,0
liweiyi88__onedump,cyclonedx-gomod,75,0,73,73,2,0,73,2,6,75,0,73,73,2,0,73,2,6,0,2,0,0,0,0
bmf-san__gondola,syft,3,1,0,2,2,0,2,2,0,3,1,0,2,2,0,2,2,0,0,0,0,0,1,1
bmf-san__gondola,trivy,3,1,0,2,2,0,2,2,0,3,1,0,2,2,0,2,2,0,0,0,0,0,1,1
bmf-san__gondola,cdxgen,2,0,1,2,0,0,2,0,0,2,0,1,2,0,0,2,0,0,0,0,0,0,0,0
bmf-san__gondola,cyclonedx-gomod,2,0,1,2,0,0,2,0,0,2,0,1,2,0,0,2,0,0,0,0,0,0,0,0
nicksnyder__go-i18n,syft,4,0,3,3,1,0,3,1,0,4,0,3,3,1,0,3,1,0,0,0,0,0,1,0
nicksnyder__go-i18n,trivy,4,0,3,3,1,0,3,1,0,4,0,3,3,1,0,3,1,0,0,0,0,0,1,0
nicksnyder__go-i18n,cdxgen,3,0,4,3,0,0,3,0,0,3,0,4,3,0,0,3,0,0,0,0,0,0,0,0
nicksnyder__go-i18n,cyclonedx-gomod,3,0,4,3,0,0,3,0,0,3,0,4,3,0,0,3,0,0,0,0,0,0,0,0
nwillc__genfuncs,syft,6,0,6,1,5,0,5,1,0,6,0,6,1,5,0,5,1,0,4,0,0,0,1,0
nwillc__genfuncs,trivy,5,0,7,1,4,0,5,0,0,5,0,7,1,4,0,5,0,0,4,0,0,0,0,0
nwillc__genfuncs,cdxgen,1,0,11,1,0,0,1,0,4,1,0,11,1,0,0,1,0,4,0,0,0,0,0,0
nwillc__genfuncs,cyclonedx-gomod,1,0,11,1,0,0,1,0,4,1,0,11,1,0,0,1,0,4,0,0,0,0,0,0
jroimartin__gocui,syft,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0
jroimartin__gocui,trivy,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0
jroimartin__gocui,cdxgen,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0
jroimartin__gocui,cyclonedx-gomod,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0
gontainer__reflectpro,syft,6,0,1,1,5,0,5,1,0,6,0,1,1,5,0,5,1,0,4,0,0,0,1,0
gontainer__reflectpro,trivy,7,0,0,1,6,0,5,2,0,7,0,0,1,6,0,5,2,0,4,0,0,0,2,0
gontainer__reflectpro,cdxgen,1,0,6,1,0,0,1,0,4,1,0,6,1,0,0,1,0,4,0,0,0,0,0,0
gontainer__reflectpro,cyclonedx-gomod,1,0,6,1,0,0,1,0,4,1,0,6,1,0,0,1,0,4,0,0,0,0,0,0
centerorbit__depcharge,syft,9,0,6,4,5,0,7,2,0,9,0,6,4,5,0,7,2,0,3,0,0,1,1,0
centerorbit__depcharge,trivy,15,0,0,4,11,0,7,8,0,15,0,0,4,11,0,7,8,0,3,0,0,1,7,0
