github.com/google/go-cmp	v0.6.0
github.com/mitchellh/go-homedir	v1.1.0
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.37.0
golang.org/x/mod	v0.17.0
golang.org/x/net	v0.25.0
golang.org/x/sync	v0.13.0
golang.org/x/sys	v0.32.0
golang.org/x/telemetry	v0.0.0-20240228155512-f48c80bd79b2
golang.org/x/term	v0.31.0
golang.org/x/text	v0.24.0
golang.org/x/tools	v0.21.1-0.20240508182429-e35e4ccd0d2d
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v2	v2.4.0
