github.com/99designs/gqlgen
github.com/agnivade/levenshtein v1.2.1
github.com/arbovm/levenshtein v0.0.0-20160628152529-48b4e1c0c4d0
github.com/coder/websocket v1.8.15
github.com/creack/pty v1.1.9
github.com/davecgh/go-spew v1.1.1
github.com/dgryski/trifles v0.0.0-20230903005119-f50d829f2e54
github.com/go-viper/mapstructure/v2 v2.5.0
github.com/goccy/go-yaml v1.19.2
github.com/golang/protobuf v1.5.0
github.com/google/go-cmp v0.7.0
github.com/google/uuid v1.6.0
github.com/hashicorp/golang-lru/v2 v2.0.7
github.com/kr/pretty v0.1.0
github.com/kr/text v0.2.0
github.com/logrusorgru/aurora/v4 v4.0.0
github.com/matryer/moq v0.6.0
github.com/mattn/go-colorable v0.1.14
github.com/mattn/go-isatty v0.0.21
github.com/pmezard/go-difflib v1.0.0
github.com/sosodev/duration v1.4.0
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.11.1
github.com/urfave/cli/v3 v3.10.1
github.com/vektah/gqlparser/v2 v2.5.36
github.com/yuin/goldmark v1.4.13
go.yaml.in/yaml/v3 v3.0.4
golang.org/x/crypto v0.54.0
golang.org/x/mod v0.38.0
golang.org/x/net v0.57.0
golang.org/x/sync v0.22.0
golang.org/x/sys v0.47.0
golang.org/x/telemetry v0.0.0-20260708182218-49f421fb7959
golang.org/x/term v0.45.0
golang.org/x/text v0.40.0
golang.org/x/tools v0.48.0
google.golang.org/protobuf v1.36.11
gopkg.in/check.v1 v1.0.0-20190902080502-41f04d3bba15
gopkg.in/yaml.v3 v3.0.1
