github.com/ebitengine/debugui	v0.2.0
github.com/ebitengine/gomobile	v0.0.0-20250923094054-ea854a63cce1
github.com/ebitengine/hideconsole	v1.0.0
github.com/ebitengine/oto/v3	v3.4.0
github.com/ebitengine/purego	v0.10.0
github.com/gen2brain/mpeg	v0.5.0
github.com/gen2brain/raylib-go/raylib	v0.60.0
github.com/go-text/typesetting	v0.3.0
github.com/google/go-cmp	v0.6.0
github.com/hajimehoshi/bitmapfont/v4	v4.1.0
github.com/hajimehoshi/ebiten/v2	v2.9.9
github.com/hajimehoshi/go-mp3	v0.3.4
github.com/jakecoffman/cp/v2	v2.3.0
github.com/jezek/xgb	v1.1.1
github.com/jfreymuth/oggvorbis	v1.0.5
github.com/jfreymuth/vorbis	v1.0.2
github.com/jupiterrider/ffi	v0.7.0
github.com/kisielk/errcheck	v1.9.0
github.com/pierrec/lz4/v4	v4.1.22
github.com/rivo/uniseg	v0.4.7
github.com/tthhr/go-drm-egl	v1.0.1
golang.org/x/exp	v0.0.0-20240506185415-9bf2ced13842
golang.org/x/image	v0.31.0
golang.org/x/mod	v0.28.0
golang.org/x/sync	v0.17.0
golang.org/x/sys	v0.36.0
golang.org/x/text	v0.29.0
golang.org/x/tools	v0.37.0
golang.org/x/tools/go/expect	v0.1.1-deprecated
golang.org/x/tools/go/packages/packagestest	v0.1.1-deprecated
