charm.land/bubbles/v2	v2.1.1
charm.land/bubbletea/v2	v2.0.8
charm.land/lipgloss/v2	v2.0.5
codeberg.org/go-pdf/fpdf	v0.12.0
github.com/charmbracelet/colorprofile	v0.4.3
github.com/charmbracelet/harmonica	v0.2.0
github.com/charmbracelet/ultraviolet	v0.0.0-20260703014108-f5a850f9c2b7
github.com/charmbracelet/x/ansi	v0.11.7
github.com/charmbracelet/x/term	v0.2.2
github.com/charmbracelet/x/termios	v0.1.1
github.com/charmbracelet/x/windows	v0.2.2
github.com/clipperhouse/displaywidth	v0.11.0
github.com/clipperhouse/uax29/v2	v2.7.0
github.com/cloudflare/circl	v1.6.3
github.com/emirpasic/gods	v1.18.1
github.com/fsnotify/fsnotify	v1.10.1
github.com/go-git/gcfg/v2	v2.0.2
github.com/go-git/go-billy/v6	v6.0.0-alpha.1
github.com/go-git/go-git/v6	v6.0.0-alpha.4
github.com/goccy/go-yaml	v1.19.2
github.com/google/go-cmp	v0.7.0
github.com/google/uuid	v1.6.0
github.com/happy-sdk/happy/addons/devel	
github.com/happy-sdk/happy/addons/devel	v1.100.0
github.com/happy-sdk/happy/cmd/happyctl	
github.com/happy-sdk/happy/lib/changelog	
github.com/happy-sdk/happy/lib/changelog	v1.100.0
github.com/happy-sdk/happy/lib/scm/gitutils	
github.com/happy-sdk/happy/lib/scm/gitutils	v1.100.0
github.com/happy-sdk/happy/lib/tail	
github.com/happy-sdk/happy/lib/taskrunner	
github.com/happy-sdk/happy/lib/taskrunner	v1.100.0
github.com/happy-sdk/happy/pkg/bitutils	
github.com/happy-sdk/happy/pkg/bitutils	v0.1.1
github.com/happy-sdk/happy/pkg/bitutils	v1.100.0
github.com/happy-sdk/happy/pkg/branding	
github.com/happy-sdk/happy/pkg/branding	v1.100.0
github.com/happy-sdk/happy/pkg/bytesize	
github.com/happy-sdk/happy/pkg/bytesize	v1.100.0
github.com/happy-sdk/happy/pkg/devel/bug	
github.com/happy-sdk/happy/pkg/devel/goutils	
github.com/happy-sdk/happy/pkg/devel/goutils	v1.100.0
github.com/happy-sdk/happy/pkg/devel/testutils	
github.com/happy-sdk/happy/pkg/devel/testutils	v1.100.0
github.com/happy-sdk/happy/pkg/fsutils	
github.com/happy-sdk/happy/pkg/fsutils	v1.100.0
github.com/happy-sdk/happy/pkg/i18n	
github.com/happy-sdk/happy/pkg/i18n	v1.100.0
github.com/happy-sdk/happy/pkg/logging	
github.com/happy-sdk/happy/pkg/logging	v1.100.0
github.com/happy-sdk/happy/pkg/logging/internal/bench	
github.com/happy-sdk/happy/pkg/networking	
github.com/happy-sdk/happy/pkg/networking	v1.100.0
github.com/happy-sdk/happy/pkg/options	
github.com/happy-sdk/happy/pkg/options	v1.100.0
github.com/happy-sdk/happy/pkg/scheduling/cron	
github.com/happy-sdk/happy/pkg/scheduling/cron	v1.100.0
github.com/happy-sdk/happy/pkg/settings	
github.com/happy-sdk/happy/pkg/settings	v1.100.0
github.com/happy-sdk/happy/pkg/strings/bexp	
github.com/happy-sdk/happy/pkg/strings/bexp	v1.100.0
github.com/happy-sdk/happy/pkg/strings/humanize	
github.com/happy-sdk/happy/pkg/strings/slug	
github.com/happy-sdk/happy/pkg/strings/slug	v1.100.0
github.com/happy-sdk/happy/pkg/strings/textfmt	
github.com/happy-sdk/happy/pkg/strings/textfmt	v1.100.0
github.com/happy-sdk/happy/pkg/tui	
github.com/happy-sdk/happy/pkg/tui	v1.100.0
github.com/happy-sdk/happy/pkg/vars	
github.com/happy-sdk/happy/pkg/vars	v1.100.0
github.com/happy-sdk/happy/pkg/version	
github.com/happy-sdk/happy/pkg/version	v1.100.0
github.com/happy-sdk/happy/tools/happyvet	
github.com/happy-sdk/happy/tools/happyvet	v1.100.0
github.com/kevinburke/ssh_config	v1.6.0
github.com/klauspost/cpuid/v2	v2.3.0
github.com/lucasb-eyer/go-colorful	v1.4.0
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.19
github.com/mattn/go-runewidth	v0.0.24
github.com/microsoft/go-winio	v0.6.2
github.com/muesli/cancelreader	v0.2.2
github.com/pjbgf/sha1cd	v0.6.0
github.com/protonmail/go-crypto	v1.4.1
github.com/rivo/uniseg	v0.4.7
github.com/rs/zerolog	v1.33.0
github.com/sergi/go-diff	v1.4.0
github.com/sirupsen/logrus	v1.9.3
github.com/xo/terminfo	v0.0.0-20220910002029-abceb7e1c41e
go.uber.org/multierr	v1.10.0
go.uber.org/zap	v1.27.0
golang.org/x/crypto	v0.54.0
golang.org/x/exp	v0.0.0-20260410095643-746e56fc9e2f
golang.org/x/mod	v0.38.0
golang.org/x/net	v0.57.0
golang.org/x/sync	v0.22.0
golang.org/x/sys	v0.12.0
golang.org/x/sys	v0.47.0
golang.org/x/term	v0.45.0
golang.org/x/text	v0.40.0
golang.org/x/tools	v0.48.0
