github.com/MetalBlueberry/go-plotly	v0.7.0
github.com/fatih/color	v1.18.0
github.com/fsnotify/fsnotify	v1.8.0
github.com/go-logr/logr	v1.4.2
github.com/go-rod/rod	v0.116.2
github.com/go-zeromq/zmq4	v0.17.0
github.com/gofrs/uuid	v4.4.0%2Bincompatible
github.com/gowebapi/webapi	v0.0.0-20221221115732-41cedfc27a0b
github.com/janpfeifer/must	v0.2.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/pkg/errors	v0.9.1
github.com/segmentio/asm	v1.1.3
github.com/segmentio/encoding	v0.3.4
github.com/ysmood/fetchup	v0.2.4
github.com/ysmood/goob	v0.4.0
github.com/ysmood/got	v0.40.0
github.com/ysmood/gson	v0.7.3
github.com/ysmood/leakless	v0.9.0
go.lsp.dev/jsonrpc2	v0.10.0
go.lsp.dev/pkg	v0.0.0-20210717090340-384b27a52fb2
go.lsp.dev/protocol	v0.12.0
go.lsp.dev/uri	v0.3.0
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.27.0
golang.org/x/exp	v0.0.0-20250106191152-7588d65b2ba8
golang.org/x/mod	v0.26.0
golang.org/x/sync	v0.10.0
golang.org/x/sys	v0.29.0
golang.org/x/text	v0.21.0
k8s.io/klog/v2	v2.130.1
