github.com/ebitengine/hideconsole v1.0.0
github.com/ebitengine/oto/v3 v3.4.0
github.com/ebitengine/purego v0.9.0
github.com/hajimehoshi/ebiten/v2 v2.9.2
github.com/jezek/xgb v1.1.1
github.com/shirou/gopsutil/v4 v4.25.9
github.com/tklauser/go-sysconf v0.3.15
github.com/tklauser/numcpus v0.10.0
golang.org/x/sync v0.17.0
golang.org/x/sys v0.36.0
