github.com/davecgh/go-spew	v1.1.1
github.com/gin-contrib/sse	v0.1.0
github.com/gin-gonic/gin	v1.7.7
github.com/go-playground/assert/v2	v2.0.1
github.com/go-playground/locales	v0.14.0
github.com/go-playground/universal-translator	v0.18.0
github.com/go-playground/validator/v10	v10.11.0
github.com/golang/protobuf	v1.3.3
github.com/kr/pretty	v0.3.0
github.com/kr/text	v0.2.0
github.com/leodido/go-urn	v1.2.1
github.com/mattn/go-isatty	v0.0.12
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.8.0
github.com/stretchr/testify	v1.7.1
github.com/ugorji/go/codec	v1.1.7
golang.org/x/crypto	v0.0.0-20211215153901-e495a2d5b3d3
golang.org/x/sys	v0.0.0-20210806184541-e5e7981a1069
golang.org/x/text	v0.3.7
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v2	v2.2.8
gopkg.in/yaml.v3	v3.0.0-20210107192922-496545a6307b
