github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
github.com/llgcode/draw2d	v0.0.0-20200110163050-b96d8208fcfc
github.com/llgcode/ps	v0.0.0-20150911083025-f1443b32eedb
golang.org/x/image	v0.0.0-20180708004352-c73c2afc3b81
