github.com/TylerBrock/colorjson v0.0.0-20200706003622-8a50f05110d2
github.com/ajg/form v1.5.1
github.com/andybalholm/brotli v1.0.4
github.com/davecgh/go-spew v1.1.1
github.com/fatih/color v1.15.0
github.com/fatih/structs v1.1.0
github.com/gobwas/glob v0.2.3
github.com/google/go-querystring v1.1.0
github.com/gorilla/websocket v1.4.2
github.com/imkira/go-interpol v1.1.0
github.com/klauspost/compress v1.15.0
github.com/mattn/go-colorable v0.1.13
github.com/mattn/go-isatty v0.0.18
github.com/mitchellh/go-wordwrap v1.0.1
github.com/pmezard/go-difflib v1.0.0
github.com/sanity-io/litter v1.5.5
github.com/sergi/go-diff v1.0.0
github.com/stretchr/testify v1.6.0
github.com/valyala/bytebufferpool v1.0.0
github.com/valyala/fasthttp v1.40.0
github.com/xeipuuv/gojsonpointer v0.0.0-20190905194746-02993c407bfb
github.com/xeipuuv/gojsonreference v0.0.0-20180127040603-bd5ef7bd5415
github.com/xeipuuv/gojsonschema v1.2.0
github.com/yalp/jsonpath v0.0.0-20180802001716-5cc68e5049a0
github.com/yudai/gojsondiff v1.0.0
github.com/yudai/golcs v0.0.0-20170316035057-ecda9a501e82
golang.org/x/net v0.33.0
golang.org/x/sys v0.28.0
gopkg.in/yaml.v3 v3.0.0
moul.io/http2curl/v2 v2.3.0
