codeberg.org/go-fonts/liberation	v0.5.0
codeberg.org/go-latex/latex	v0.1.0
codeberg.org/go-pdf/fpdf	v0.10.0
git.sr.ht/~sbinet/gg	v0.6.0
github.com/ajstarks/svgo	v0.0.0-20211024235047-1546f124cd8b
github.com/campoy/embedmd	v1.0.0
github.com/davecgh/go-spew	v1.1.1
github.com/goccmack/gocc	v1.0.2
github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
github.com/google/go-cmp	v0.6.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
golang.org/x/image	v0.25.0
golang.org/x/mod	v0.23.0
golang.org/x/sync	v0.12.0
golang.org/x/text	v0.23.0
golang.org/x/tools	v0.30.0
gonum.org/v1/gonum	v0.17.0
gonum.org/v1/plot	v0.15.2
gonum.org/v1/tools	v0.0.0-20200318103217-c168b003ce8c
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
rsc.io/pdf	v0.1.1
