github.com/davecgh/go-spew v1.1.2-0.20180830191138-d8f796af33cc
github.com/fatih/color v1.18.0
github.com/fsnotify/fsnotify v1.8.0
github.com/go-viper/mapstructure/v2 v2.2.1
github.com/jedib0t/go-pretty/v6 v6.7.8
github.com/mattn/go-colorable v0.1.13
github.com/mattn/go-isatty v0.0.20
github.com/mattn/go-runewidth v0.0.16
github.com/pelletier/go-toml/v2 v2.2.3
github.com/pmezard/go-difflib v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/rivo/uniseg v0.4.7
github.com/sagikazarmark/locafero v0.7.0
github.com/sourcegraph/conc v0.3.0
github.com/spf13/afero v1.12.0
github.com/spf13/cast v1.7.1
github.com/spf13/cobra v1.10.2
github.com/spf13/pflag v1.0.9
github.com/spf13/viper v1.20.1
github.com/stretchr/testify v1.11.1
github.com/subosito/gotenv v1.6.0
golang.org/x/mod v0.33.0
golang.org/x/sync v0.19.0
golang.org/x/sys v0.41.0
golang.org/x/text v0.22.0
golang.org/x/tools v0.42.0
gopkg.in/yaml.v3 v3.0.1
