Cloning into '/home/user/SBOM/work/blind-oracle__cortex-tenant'...
go: downloading go1.25.0 (linux/amd64)
go: downloading github.com/blind-oracle/go-common v1.0.7
go: downloading github.com/caarlos0/env/v8 v8.0.0
go: downloading github.com/dyson/certman v0.3.0
go: downloading github.com/gogo/protobuf v1.3.2
go: downloading github.com/golang/snappy v1.0.0
go: downloading github.com/grafana/loki/v3 v3.5.4
go: downloading github.com/hashicorp/go-multierror v1.1.1
go: downloading github.com/prometheus/client_golang v1.21.1
go: downloading github.com/prometheus/prometheus v0.302.1
go: downloading github.com/sirupsen/logrus v1.9.3
go: downloading github.com/valyala/fasthttp v1.58.0
go: downloading gopkg.in/yaml.v2 v2.4.0
go: downloading github.com/fsnotify/fsnotify v1.8.0
go: downloading github.com/hashicorp/errwrap v1.1.0
go: downloading github.com/prometheus/client_model v0.6.1
go: downloading github.com/prometheus/common v0.62.0
go: downloading github.com/prometheus/procfs v0.15.1
go: downloading github.com/klauspost/compress v1.18.0
go: downloading golang.org/x/sys v0.42.0
go: downloading github.com/andybalholm/brotli v1.1.1
go: downloading github.com/valyala/bytebufferpool v1.0.0
go: downloading github.com/grafana/regexp v0.0.0-20240518133315-a468a5bfb3bc
go: downloading golang.org/x/text v0.35.0
go: downloading github.com/dennwc/varint v1.0.0
go: downloading github.com/c2h5oh/datasize v0.0.0-20231215233829-aa82cc1e6500
go: downloading github.com/grafana/loki/pkg/push v0.0.0-20240924133635-758364c7775f
go: downloading github.com/json-iterator/go v1.1.12
go: downloading github.com/opentracing/opentracing-go v1.2.1-0.20220228012449-10b1cf09e00b
go: downloading google.golang.org/grpc v1.79.3
go: downloading github.com/go-kit/log v0.2.1
go: downloading github.com/grafana/dskit v0.0.0-20250317084829-9cdd36a91f10
go: downloading github.com/uber/jaeger-client-go v2.30.0+incompatible
go: downloading github.com/modern-go/concurrent v0.0.0-20180306012644-bacd9c7ef1dd
go: downloading github.com/modern-go/reflect2 v1.0.2
go: downloading golang.org/x/exp v0.0.0-20250106191152-7588d65b2ba8
go: downloading github.com/gorilla/mux v1.8.1
go: downloading github.com/grafana/jsonparser v0.0.0-20241004153430-023329977675
go: downloading golang.org/x/net v0.52.0
go: downloading google.golang.org/genproto/googleapis/rpc v0.0.0-20260319201613-d00831a3d3e7
go: downloading github.com/edsrzf/mmap-go v1.2.0
go: downloading github.com/facette/natsort v0.0.0-20181210072756-2cd4dd1e2dcb
go: downloading go4.org/netipx v0.0.0-20230125063823-8449b0a6169f
go: downloading go.opentelemetry.io/otel v1.39.0
go: downloading go.opentelemetry.io/otel/trace v1.39.0
go: downloading github.com/go-logfmt/logfmt v0.6.0
go: downloading github.com/grafana/gomemcache v0.0.0-20250228145437-da7b95fd2ac1
go: downloading github.com/redis/go-redis/v9 v9.7.3
go: downloading github.com/sony/gobreaker/v2 v2.1.0
go: downloading github.com/tjhop/slog-gokit v0.1.4
go: downloading github.com/uber/jaeger-lib v2.4.1+incompatible
go: downloading github.com/gogo/googleapis v1.4.1
go: downloading github.com/gogo/status v1.1.1
go: downloading github.com/stretchr/objx v0.5.2
go: downloading github.com/axiomhq/hyperloglog v0.2.5
go: downloading dario.cat/mergo v1.0.1
go: downloading github.com/Masterminds/semver/v3 v3.3.1
