github.com/davecgh/go-spew	v1.1.1
github.com/gofrs/uuid	v4.4.0%2Bincompatible
github.com/google/uuid	v1.3.0
github.com/jakehl/goid	v1.1.0
github.com/kr/pretty	v0.2.1
github.com/kr/text	v0.1.0
github.com/pmezard/go-difflib	v1.0.0
github.com/rekby/fastuuid/benchmarks	
github.com/rogpeppe/fastuuid	v1.2.0
github.com/satori/go.uuid	v1.2.0
github.com/stretchr/testify	v1.8.2
github.com/valyala/fastrand	v1.1.0
gitlab.com/rwxrob/uniq	v0.0.0-20200325203910-f771e6779384
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
