cloud.google.com/go/compute/metadata	v0.3.0
github.com/bmatcuk/doublestar/v4	v4.10.0
github.com/cespare/xxhash/v2	v2.3.0
github.com/davecgh/go-spew	v1.1.1
github.com/go-chi/chi/v5	v5.3.1
github.com/go-jose/go-jose/v4	v4.1.4
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/golang/mock	v1.6.0
github.com/golang/protobuf	v1.3.2
github.com/google/go-cmp	v0.7.0
github.com/google/go-github/v31	v31.0.0
github.com/google/go-querystring	v1.2.0
github.com/google/gofuzz	v1.2.0
github.com/google/uuid	v1.6.0
github.com/gorilla/securecookie	v1.1.2
github.com/jeremija/gosubmit	v0.2.8
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/muhlemmer/gu	v0.3.1
github.com/muhlemmer/httpforwarded	v0.1.0
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.14.1
github.com/rs/cors	v1.11.1
github.com/sirupsen/logrus	v1.9.4
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/yuin/goldmark	v1.3.5
github.com/zitadel/logging	v0.7.0
github.com/zitadel/schema	v1.3.2
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/otel	v1.44.0
go.opentelemetry.io/otel/metric	v1.44.0
go.opentelemetry.io/otel/trace	v1.44.0
golang.org/x/crypto	v0.53.0
golang.org/x/mod	v0.37.0
golang.org/x/net	v0.55.0
golang.org/x/oauth2	v0.36.0
golang.org/x/sync	v0.22.0
golang.org/x/sys	v0.46.0
golang.org/x/term	v0.44.0
golang.org/x/text	v0.40.0
golang.org/x/tools	v0.47.0
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
google.golang.org/appengine	v1.1.0
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
