github.com/bmatcuk/doublestar	v1.3.4
github.com/chewxy/math32	v1.10.1
github.com/davecgh/go-spew	v1.1.1
github.com/dustin/go-humanize	v1.0.1
github.com/emicklei/dot	v1.6.2
github.com/google/go-cmp	v0.5.9
github.com/inconshreveable/mousetrap	v1.1.0
github.com/pmezard/go-difflib	v1.0.0
github.com/remyoudompheng/bigfft	v0.0.0-20230129092748-24d4a6f8daec
github.com/spf13/cobra	v1.8.1
github.com/spf13/pflag	v1.0.5
github.com/stretchr/testify	v1.9.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
lukechampine.com/uint128	v1.3.0
modernc.org/cc/v3	v3.41.0
modernc.org/mathutil	v1.6.0
modernc.org/strutil	v1.2.0
modernc.org/token	v1.1.0
