repo,tool,n_cold,n_warm,added_warm,removed_warm,changed,gt_all,cold_tp,warm_tp
mmadfox__go-geojson2h3,syft,10,10,0,0,no,10,10,10
mmadfox__go-geojson2h3,trivy,8,8,0,0,no,10,8,8
mmadfox__go-geojson2h3,cdxgen,8,8,0,0,no,10,8,8
mmadfox__go-geojson2h3,cyclonedx-gomod,8,8,0,0,no,10,8,8
hrygo__hotplex,syft,188,188,0,0,no,302,187,187
hrygo__hotplex,trivy,NA,NA,0,0,no,302,NA,NA
hrygo__hotplex,cdxgen,135,135,0,0,no,302,133,133
hrygo__hotplex,cyclonedx-gomod,128,128,0,0,no,302,128,128
Allenxuxu__gev,syft,31,31,0,0,no,63,31,31
Allenxuxu__gev,trivy,63,63,0,0,no,63,63,63
Allenxuxu__gev,cdxgen,19,19,0,0,no,63,19,19
Allenxuxu__gev,cyclonedx-gomod,19,19,0,0,no,63,19,19
matryer__moq,syft,11,11,0,0,no,9,5,5
matryer__moq,trivy,11,11,0,0,no,9,4,4
matryer__moq,cdxgen,5,5,0,0,no,9,3,3
matryer__moq,cyclonedx-gomod,3,3,0,0,no,9,3,3
hyperledger__fabric,syft,212,212,0,0,no,498,157,157
hyperledger__fabric,trivy,202,202,0,0,no,498,148,148
hyperledger__fabric,cdxgen,172,172,0,0,no,498,129,129
hyperledger__fabric,cyclonedx-gomod,115,115,0,0,no,498,115,115
x-mod__routine,syft,17,17,0,0,no,34,17,17
x-mod__routine,trivy,34,34,0,0,no,34,34,34
x-mod__routine,cdxgen,7,7,0,0,no,34,7,7
x-mod__routine,cyclonedx-gomod,7,7,0,0,no,34,7,7
gagliardetto__solana-go,syft,97,97,0,0,no,133,97,97
gagliardetto__solana-go,trivy,79,79,0,0,no,133,79,79
gagliardetto__solana-go,cdxgen,66,66,0,0,no,133,66,66
gagliardetto__solana-go,cyclonedx-gomod,67,67,0,0,no,133,67,67
couchbase__moss,syft,4,4,0,0,no,4,4,4
couchbase__moss,trivy,4,4,0,0,no,4,4,4
couchbase__moss,cdxgen,3,3,0,0,no,4,3,3
couchbase__moss,cyclonedx-gomod,4,4,0,0,no,4,4,4
presbrey__ollamafarm,syft,18,18,0,0,no,104,18,18
presbrey__ollamafarm,trivy,12,12,0,0,no,104,12,12
presbrey__ollamafarm,cdxgen,8,8,0,0,no,104,8,8
presbrey__ollamafarm,cyclonedx-gomod,9,9,0,0,no,104,9,9
peterstace__simplefeatures,syft,2,2,0,0,no,3,2,2
peterstace__simplefeatures,trivy,2,3,1,0,YES,3,2,3
peterstace__simplefeatures,cdxgen,2,2,0,0,no,3,2,2
peterstace__simplefeatures,cyclonedx-gomod,2,2,0,0,no,3,2,2
mdlayher__dhcp6,syft,1,1,0,0,no,1,1,1
mdlayher__dhcp6,trivy,1,1,0,0,no,1,1,1
mdlayher__dhcp6,cdxgen,1,1,0,0,no,1,1,1
mdlayher__dhcp6,cyclonedx-gomod,1,1,0,0,no,1,1,1
avito-tech__normalize,syft,3,3,0,0,no,3,3,3
avito-tech__normalize,trivy,3,3,0,0,no,3,3,3
avito-tech__normalize,cdxgen,1,1,0,0,no,3,1,1
avito-tech__normalize,cyclonedx-gomod,1,1,0,0,no,3,1,1
oklog__ulid,syft,1,1,0,0,no,1,1,1
oklog__ulid,trivy,1,1,0,0,no,1,1,1
oklog__ulid,cdxgen,1,1,0,0,no,1,1,1
oklog__ulid,cyclonedx-gomod,1,1,0,0,no,1,1,1
antchfx__htmlquery,syft,4,4,0,0,no,14,4,4
antchfx__htmlquery,trivy,14,14,0,0,no,14,14,14
antchfx__htmlquery,cdxgen,4,4,0,0,no,14,4,4
antchfx__htmlquery,cyclonedx-gomod,4,4,0,0,no,14,4,4
ipfs__kubo,syft,470,470,0,0,no,585,324,324
ipfs__kubo,trivy,435,435,0,0,no,585,289,289
ipfs__kubo,cdxgen,262,262,0,0,no,585,259,259
ipfs__kubo,cyclonedx-gomod,259,259,0,0,no,585,259,259
jf-tech__omniparser,syft,29,29,0,0,no,126,29,29
jf-tech__omniparser,trivy,126,126,0,0,no,126,126,126
jf-tech__omniparser,cdxgen,21,21,0,0,no,126,21,21
jf-tech__omniparser,cyclonedx-gomod,22,22,0,0,no,126,22,22
ip2location__ip2location-io-go,syft,2,2,0,0,no,6,2,2
ip2location__ip2location-io-go,trivy,2,2,0,0,no,6,2,2
ip2location__ip2location-io-go,cdxgen,2,2,0,0,no,6,2,2
ip2location__ip2location-io-go,cyclonedx-gomod,2,2,0,0,no,6,2,2
thomaspoignant__go-feature-flag,syft,364,364,0,0,no,726,348,348
thomaspoignant__go-feature-flag,trivy,319,319,0,0,no,726,303,303
thomaspoignant__go-feature-flag,cdxgen,260,260,0,0,no,726,256,256
thomaspoignant__go-feature-flag,cyclonedx-gomod,255,255,0,0,no,726,253,253
hashicorp__go-retryablehttp,syft,10,10,0,0,no,12,10,10
hashicorp__go-retryablehttp,trivy,6,6,0,0,no,12,6,6
hashicorp__go-retryablehttp,cdxgen,1,1,0,0,no,12,1,1
hashicorp__go-retryablehttp,cyclonedx-gomod,1,1,0,0,no,12,1,1
mattn__go-colorable,syft,2,2,0,0,no,2,2,2
mattn__go-colorable,trivy,2,2,0,0,no,2,2,2
mattn__go-colorable,cdxgen,2,2,0,0,no,2,2,2
mattn__go-colorable,cyclonedx-gomod,2,2,0,0,no,2,2,2
codingsince1985__couchcache,syft,16,16,0,0,no,21,16,16
codingsince1985__couchcache,trivy,13,13,0,0,no,21,13,13
codingsince1985__couchcache,cdxgen,10,10,0,0,no,21,10,10
codingsince1985__couchcache,cyclonedx-gomod,10,10,0,0,no,21,10,10
rafaelespinoza__godfish,syft,58,58,0,0,no,68,58,58
rafaelespinoza__godfish,trivy,25,25,0,0,no,68,25,25
rafaelespinoza__godfish,cdxgen,23,23,0,0,no,68,23,23
rafaelespinoza__godfish,cyclonedx-gomod,25,25,0,0,no,68,25,25
krotik__eliasdb,syft,3,3,0,0,no,3,3,3
krotik__eliasdb,trivy,3,3,0,0,no,3,3,3
krotik__eliasdb,cdxgen,3,3,0,0,no,3,3,3
krotik__eliasdb,cyclonedx-gomod,3,3,0,0,no,3,3,3
posener__cmd,syft,10,10,0,0,no,12,10,10
posener__cmd,trivy,12,12,0,0,no,12,12,12
posener__cmd,cdxgen,5,5,0,0,no,12,5,5
posener__cmd,cyclonedx-gomod,5,5,0,0,no,12,5,5
gilbertchen__duplicacy,syft,86,86,0,0,no,119,86,86
gilbertchen__duplicacy,trivy,69,69,0,0,no,119,69,69
gilbertchen__duplicacy,cdxgen,60,60,0,0,no,119,60,60
gilbertchen__duplicacy,cyclonedx-gomod,65,65,0,0,no,119,65,65
markfarnan__go-canvas,syft,4,4,0,0,no,7,4,4
markfarnan__go-canvas,trivy,7,7,0,0,no,7,7,7
markfarnan__go-canvas,cdxgen,3,3,0,0,no,7,3,3
markfarnan__go-canvas,cyclonedx-gomod,3,3,0,0,no,7,3,3
arikama__go-mysql-test-container,syft,50,50,0,0,no,302,50,50
arikama__go-mysql-test-container,trivy,37,37,0,0,no,302,37,37
arikama__go-mysql-test-container,cdxgen,27,27,0,0,no,302,27,27
arikama__go-mysql-test-container,cyclonedx-gomod,32,32,0,0,no,302,32,32
smartystreets__goconvey,syft,6,6,0,0,no,24,6,6
smartystreets__goconvey,trivy,5,5,0,0,no,24,5,5
smartystreets__goconvey,cdxgen,4,4,0,0,no,24,4,4
smartystreets__goconvey,cyclonedx-gomod,5,5,0,0,no,24,5,5
kubernetes-sigs__kind,syft,408,408,0,0,no,23,20,20
kubernetes-sigs__kind,trivy,407,407,0,0,no,23,20,20
kubernetes-sigs__kind,cdxgen,402,402,0,0,no,23,18,18
kubernetes-sigs__kind,cyclonedx-gomod,12,12,0,0,no,23,12,12
gookit__config,syft,16,16,0,0,no,18,16,16
gookit__config,trivy,13,13,0,0,no,18,13,13
gookit__config,cdxgen,13,13,0,0,no,18,13,13
gookit__config,cyclonedx-gomod,13,13,0,0,no,18,13,13
cogentcore__core,syft,84,84,0,0,no,123,84,84
cogentcore__core,trivy,74,74,0,0,no,123,74,74
cogentcore__core,cdxgen,66,66,0,0,no,123,66,66
cogentcore__core,cyclonedx-gomod,71,71,0,0,no,123,71,71
circa10a__go-aws-news,syft,40,40,0,0,no,48,40,40
circa10a__go-aws-news,trivy,39,39,0,0,no,48,39,39
circa10a__go-aws-news,cdxgen,32,32,0,0,no,48,32,32
circa10a__go-aws-news,cyclonedx-gomod,32,32,0,0,no,48,32,32
kitabisa__teler-waf,syft,342,342,0,0,no,608,249,249
kitabisa__teler-waf,trivy,266,266,0,0,no,608,199,199
kitabisa__teler-waf,cdxgen,238,238,0,0,no,608,182,182
kitabisa__teler-waf,cyclonedx-gomod,176,176,0,0,no,608,176,176
awnumar__memguard,syft,4,4,0,0,no,7,4,4
awnumar__memguard,trivy,4,7,3,0,YES,7,4,7
awnumar__memguard,cdxgen,4,4,0,0,no,7,4,4
awnumar__memguard,cyclonedx-gomod,4,4,0,0,no,7,4,4
alajmo__sake,syft,32,32,0,0,no,44,32,32
alajmo__sake,trivy,28,28,0,0,no,44,28,28
alajmo__sake,cdxgen,19,19,0,0,no,44,19,19
alajmo__sake,cyclonedx-gomod,20,20,0,0,no,44,20,20
jirenius__go-res,syft,29,29,0,0,no,60,29,29
jirenius__go-res,trivy,21,21,0,0,no,60,21,21
jirenius__go-res,cdxgen,20,20,0,0,no,60,20,20
jirenius__go-res,cyclonedx-gomod,20,20,0,0,no,60,20,20
xyproto__permissions,syft,15,15,0,0,no,20,15,15
xyproto__permissions,trivy,12,12,0,0,no,20,12,12
xyproto__permissions,cdxgen,12,12,0,0,no,20,12,12
xyproto__permissions,cyclonedx-gomod,11,11,0,0,no,20,11,11
BrianLeishman__go-imap,syft,30,30,0,0,no,37,30,30
BrianLeishman__go-imap,trivy,26,26,0,0,no,37,26,26
BrianLeishman__go-imap,cdxgen,26,26,0,0,no,37,26,26
BrianLeishman__go-imap,cyclonedx-gomod,26,26,0,0,no,37,26,26
go-furnace__go-furnace,syft,42,42,0,0,no,66,42,42
go-furnace__go-furnace,trivy,66,66,0,0,no,66,66,66
go-furnace__go-furnace,cdxgen,34,34,0,0,no,66,34,34
go-furnace__go-furnace,cyclonedx-gomod,35,35,0,0,no,66,35,35
wzshiming__ctc,syft,2,2,0,0,no,2,2,2
wzshiming__ctc,trivy,2,2,0,0,no,2,2,2
wzshiming__ctc,cdxgen,1,1,0,0,no,2,1,1
wzshiming__ctc,cyclonedx-gomod,2,2,0,0,no,2,2,2
tarmac-project__tarmac,syft,161,161,0,0,no,333,149,149
tarmac-project__tarmac,trivy,130,130,0,0,no,333,118,118
tarmac-project__tarmac,cdxgen,118,118,0,0,no,333,115,115
tarmac-project__tarmac,cyclonedx-gomod,116,116,0,0,no,333,116,116
containrrr__shoutrrr,syft,54,54,0,0,no,65,54,54
containrrr__shoutrrr,trivy,34,34,0,0,no,65,34,34
containrrr__shoutrrr,cdxgen,29,29,0,0,no,65,29,29
containrrr__shoutrrr,cyclonedx-gomod,32,32,0,0,no,65,32,32
golangci__golangci-lint,syft,302,302,0,0,no,399,267,267
golangci__golangci-lint,trivy,274,274,0,0,no,399,246,246
golangci__golangci-lint,cdxgen,269,269,0,0,no,399,246,246
golangci__golangci-lint,cyclonedx-gomod,212,212,0,0,no,399,212,212
pantrif__url-shortener,syft,3,3,0,0,no,3,3,3
pantrif__url-shortener,trivy,3,3,0,0,no,3,3,3
pantrif__url-shortener,cdxgen,2,2,0,0,no,3,2,2
pantrif__url-shortener,cyclonedx-gomod,2,2,0,0,no,3,2,2
golobby__orm,syft,31,31,0,0,no,45,26,26
golobby__orm,trivy,25,25,0,0,no,45,20,20
golobby__orm,cdxgen,14,14,0,0,no,45,14,14
golobby__orm,cyclonedx-gomod,15,15,0,0,no,45,15,15
xhit__go-simple-mail,syft,7,7,0,0,no,8,7,7
xhit__go-simple-mail,trivy,9,9,0,0,no,8,8,8
xhit__go-simple-mail,cdxgen,1,1,0,0,no,8,1,1
xhit__go-simple-mail,cyclonedx-gomod,1,1,0,0,no,8,1,1
flower-corp__lotusdb,syft,31,32,1,0,YES,59,31,32
flower-corp__lotusdb,trivy,29,29,0,0,no,59,29,29
flower-corp__lotusdb,cdxgen,20,20,0,0,no,59,20,20
flower-corp__lotusdb,cyclonedx-gomod,22,22,0,0,no,59,22,22
go-rel__rel,syft,17,17,0,0,no,28,17,17
go-rel__rel,trivy,9,9,0,0,no,28,9,9
go-rel__rel,cdxgen,2,2,0,0,no,28,2,2
go-rel__rel,cyclonedx-gomod,2,2,0,0,no,28,2,2
robfig__soy,syft,15,15,0,0,no,25,15,15
robfig__soy,trivy,25,25,0,0,no,25,25,25
robfig__soy,cdxgen,4,4,0,0,no,25,4,4
robfig__soy,cyclonedx-gomod,4,4,0,0,no,25,4,4
lalamove__konfig,syft,104,104,0,0,no,245,104,104
lalamove__konfig,trivy,245,245,0,0,no,245,245,245
lalamove__konfig,cdxgen,51,51,0,0,no,245,51,51
lalamove__konfig,cyclonedx-gomod,52,52,0,0,no,245,52,52
go-zoox__fetch,syft,10,10,0,0,no,15,10,10
go-zoox__fetch,trivy,9,9,0,0,no,15,9,9
go-zoox__fetch,cdxgen,7,7,0,0,no,15,7,7
go-zoox__fetch,cyclonedx-gomod,7,7,0,0,no,15,7,7
derekparker__delve,syft,30,30,0,0,no,37,30,30
derekparker__delve,trivy,22,22,0,0,no,37,22,22
derekparker__delve,cdxgen,22,22,0,0,no,37,22,22
derekparker__delve,cyclonedx-gomod,21,21,0,0,no,37,21,21
SpectoLabs__hoverfly,syft,95,95,0,0,no,170,95,95
SpectoLabs__hoverfly,trivy,82,82,0,0,no,170,82,82
SpectoLabs__hoverfly,cdxgen,82,82,0,0,no,170,82,82
SpectoLabs__hoverfly,cyclonedx-gomod,80,80,0,0,no,170,80,80
hashmap-kz__relimpact,syft,9,9,0,0,no,14,9,9
hashmap-kz__relimpact,trivy,8,8,0,0,no,14,8,8
hashmap-kz__relimpact,cdxgen,7,7,0,0,no,14,7,7
hashmap-kz__relimpact,cyclonedx-gomod,4,4,0,0,no,14,4,4
shopify__toxiproxy,syft,33,33,0,0,no,52,33,33
shopify__toxiproxy,trivy,22,22,0,0,no,52,22,22
shopify__toxiproxy,cdxgen,21,21,0,0,no,52,21,21
shopify__toxiproxy,cyclonedx-gomod,21,21,0,0,no,52,21,21
CalebQ42__bbConvert,syft,1,1,0,0,no,1,1,1
CalebQ42__bbConvert,trivy,1,1,0,0,no,1,1,1
CalebQ42__bbConvert,cdxgen,1,1,0,0,no,1,1,1
