Cloning into '/home/user/SBOM/work/taubyte__tau'...
go: downloading github.com/fxamacker/cbor/v2 v2.9.1
go: downloading github.com/ipfs/go-log/v2 v2.6.0
go: downloading github.com/jedib0t/go-pretty/v6 v6.4.6
go: downloading github.com/libp2p/go-libp2p v0.46.0
go: downloading github.com/pterm/pterm v0.12.65
go: downloading github.com/urfave/cli/v2 v2.25.7
go: downloading github.com/avast/retry-go/v4 v4.6.1
go: downloading github.com/google/go-github/v71 v71.0.0
go: downloading golang.org/x/oauth2 v0.30.0
go: downloading github.com/multiformats/go-multiaddr v0.16.1
go: downloading github.com/shirou/gopsutil/v4 v4.24.5
go: downloading github.com/libp2p/go-libp2p-pubsub v0.14.2
go: downloading github.com/ipfs/go-cid v0.5.0
go: downloading github.com/shirou/gopsutil v3.21.4-0.20210419000835-c7a38de76ee5+incompatible
go: downloading github.com/spf13/afero v1.11.0
go: downloading golang.org/x/exp v0.0.0-20250718183923-645b1fa84792
go: downloading github.com/ipfs/go-datastore v0.8.2
go: downloading github.com/go-git/go-git/v5 v5.4.2
go: downloading github.com/cockroachdb/pebble v0.0.0-20231218155426-48b54c29d8fe
go: downloading github.com/cockroachdb/pebble/v2 v2.0.6
go: downloading github.com/ipfs/boxo v0.33.1
go: downloading github.com/ipfs/go-ds-pebble v0.5.0
go: downloading github.com/google/jsonschema-go v0.3.0
go: downloading github.com/modelcontextprotocol/go-sdk v1.0.0
go: downloading github.com/libp2p/go-libp2p-kad-dht v0.33.1
go: downloading github.com/libp2p/go-libp2p-record v0.3.1
go: downloading github.com/hsanjuan/ipfs-lite v1.8.6
go: downloading github.com/ipfs/go-ipld-format v0.6.2
go: downloading github.com/whyrusleeping/multiaddr-filter v0.0.0-20160516205228-e903e4adabd7
go: downloading github.com/AlecAivazis/survey/v2 v2.3.7
go: downloading github.com/briandowns/spinner v1.23.0
go: downloading github.com/olekukonko/ts v0.0.0-20171002115256-78ecb04241c0
go: downloading github.com/alecthomas/units v0.0.0-20240927000941-0f3dac36c52b
go: downloading github.com/taubyte/domain-validation v1.0.1
go: downloading github.com/docker/docker v25.0.3+incompatible
