github.com/BurntSushi/toml	v0.3.1
github.com/axgle/mahonia	v0.0.0-20180208002826-3358181d7394
github.com/davecgh/go-spew	v1.1.1
github.com/gomodule/redigo	v1.8.3
github.com/gookit/color	v1.2.5
github.com/kr/pretty	v0.2.0
github.com/kr/text	v0.1.0
github.com/muesli/cache2go	v0.0.0-20200423001931-a100c5aac93f
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/testify	v1.6.1
github.com/xxjwxc/public	v0.0.0-20210518123934-6cc0965f0bc5
go.uber.org/atomic	v1.4.0
go.uber.org/multierr	v1.1.0
go.uber.org/zap	v1.10.0
golang.org/x/sync	v0.0.0-20190423024810-112230192c58
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/eapache/queue.v1	v1.1.0
gopkg.in/natefinch/lumberjack.v2	v2.0.0
gopkg.in/yaml.v2	v2.3.0
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
