repo,n_setA,n_GT,manifest_n_imp,gt_match,n_missing,n_risk_modules,missing_detail
gliderlabs__ssh,2,2,2,yes,0,0,""
HDT3213__rdb,1,7,7,yes,0,0,""
timdp__lwc,2,3,3,yes,0,0,""
Colin4k1024__Aetheris,38,124,124,yes,0,0,""
Kachit__gorm-seeder,1,3,3,yes,0,0,""
yaronsumel__grapes,3,3,3,yes,0,0,""
yuseferi__envyaml,2,2,2,yes,0,0,""
tomodian__release,6,14,14,yes,0,0,""
fyne-io__fyne,37,46,46,yes,4,4,"github.com/fyne-io/gl-js[platform], github.com/fyne-io/glfw-js[platform], github.com/go-ole/go-ole[platform]"
PuerkitoBio__goquery,2,2,2,yes,0,0,""
netresearch__ofelia,21,43,43,yes,0,0,""
msoap__go-carpet,5,7,7,yes,0,1,""
daveshanley__vacuum,28,94,94,yes,0,0,""
bhmj__jsonslice,1,1,1,yes,0,0,""
shinagawa-web__gomarklint,3,4,4,yes,0,0,""
deatil__go-jwt,1,2,2,yes,0,0,""
gagliardetto__solana-go,29,66,66,yes,0,0,""
gobuffalo__validate,2,2,2,yes,0,0,""
matzefriedrich__parsley,4,8,8,yes,0,0,""
thomaspoignant__go-feature-flag,68,256,256,yes,0,0,""
switchupcb__copygen,4,6,6,yes,0,0,""
charmbracelet__wish,9,43,43,yes,0,0,""
jeffail__leaps,13,14,14,yes,2,2,"github.com/azure/azure-sdk-for-go[other_tag], github.com/cenkalti/backoff[other_tag]"
fastschema__fastschema,36,150,150,yes,0,0,""
dgraph-io__dgraph,66,157,157,yes,0,0,""
Qntfy__kazaam,2,2,2,yes,0,0,""
RichardKnop__minisql,4,7,7,yes,0,0,""
sideshow__apns2,4,7,7,yes,0,0,""
1set__cronrange,1,1,1,yes,0,0,""
corona10__goimagehash,1,1,1,yes,0,0,""
subosito__gotenv,1,1,1,yes,0,0,""
patrickhener__goshs,29,96,96,yes,0,0,""
Eun__go-hit,16,30,30,yes,0,0,""
mitchellh__packer,48,376,376,yes,0,0,""
pascaldekloe__colfer,2,3,3,yes,0,0,""
cheshir__go-mq,3,5,5,yes,0,0,""
cabify__logrusiowriter,1,2,2,yes,0,0,""
kubeservice-stack__common,37,117,117,yes,0,1,""
rulego__rulego,12,18,18,yes,0,0,""
golang__groupcache,1,2,2,yes,0,0,""
woodpecker-ci__woodpecker,69,201,201,yes,2,2,"github.com/getkin/kin-openapi[tools], github.com/urfave/cli-docs/v3[other_tag]"
jltorresm__otpgo,1,1,1,yes,0,0,""
kilgaloon__leprechaun,7,18,18,yes,0,0,""
anqiansong__sqlgen,7,38,38,yes,0,0,""
alegrey91__fwdctl,9,24,24,yes,0,0,""
flosch__pongo2,1,1,1,yes,0,0,""
goravel__goravel,4,137,137,yes,0,0,""
rogerwelin__cassowary,6,33,33,yes,0,0,""
mkchoi212__fac,3,7,7,yes,0,0,""
gookit__slog,5,10,10,yes,0,0,""
vladopajic__go-actor,1,1,1,yes,0,0,""
Fs02__grimoire,7,11,11,yes,0,0,""
neuronlabs__errors,1,1,1,yes,0,0,""
g3n__engine,4,4,4,yes,0,0,""
tomarrell__wrapcheck,3,19,19,yes,0,0,""
raszia__gotiny,1,1,1,yes,0,0,""
cloudwego__hertz,8,13,13,yes,1,1,"github.com/tidwall/gjson[platform]"
rekby__fastuuid,1,1,1,yes,0,0,""
enetx__tg,3,7,7,yes,0,0,""
tdewolff__minify,4,8,8,yes,0,0,""
orlangure__gnomock,26,127,127,yes,0,0,""
coinpaprika__coinpaprika-api-go-client,1,1,1,yes,0,0,""
arxdsilva__golang-ifood-sdk,2,8,8,yes,0,0,""
antham__chyle,7,37,37,yes,0,0,""
bitfield__script,2,3,3,yes,0,0,""
FrancoLiberali__cql,7,16,16,yes,0,0,""
ivanilves__lstags,8,21,21,yes,0,0,""
loom-go__loom,1,2,2,yes,0,0,""
rjeczalik__notify,1,1,1,yes,0,0,""
tricksterproxy__trickster,26,57,57,yes,0,0,""
32leaves__bel,1,1,1,yes,0,0,""
go-the-way__exl,1,11,11,yes,0,0,""
inancgumus__learngo,5,10,10,yes,0,0,""
SeldonIO__goven,2,4,4,yes,0,0,""
antonmedv__fx,13,28,28,yes,0,0,""
goxjs__gl,2,1,1,yes,1,1,"github.com/gopherjs/gopherjs[platform]"
nikolaydubina__fpmoney,1,1,0,NO,0,0,""
artonge__go-gtfs,1,1,1,yes,0,0,""
cmd-stream__cmd-stream-go,5,7,7,yes,0,0,""
tinygo-org__tinygo,18,15,15,yes,4,5,"github.com/golangci/misspell[tools], github.com/mgechev/revive[tools], go.bytecodealliance.org[tools]"
thoas__picfit,24,81,81,yes,0,0,""
hybridgroup__gobot,19,25,25,yes,3,3,"github.com/hybridgroup/mjpeg[other_tag], github.com/nsf/termbox-go[other_tag], gocv.io/x/gocv[other_tag]"
Haraj-backend__hex-monscape,11,16,16,yes,0,0,""
cenkalti__rain,19,41,41,yes,0,0,""
Breeze0806__go-etl,21,54,54,yes,0,0,""
agnivade__wasmbrowsertest,4,9,9,yes,0,0,""
lxzan__gws,1,1,1,yes,0,0,""
wangyoucao577__go-project-layout,2,2,2,yes,0,0,""
codingsince1985__geo-golang,1,1,1,yes,0,0,""
go-co-op__gocron,3,3,3,yes,0,0,""
owenthereal__upterm,40,118,118,yes,1,2,"github.com/charmbracelet/x/conpty[platform]"
nicksnyder__go-i18n,3,3,3,yes,0,0,""
emicklei__mora,6,12,12,yes,0,0,""
anthdm__hollywood,10,38,38,yes,0,0,""
qiniu__qmgo,2,16,16,yes,0,0,""
richardwilkes__unison,9,14,14,yes,0,1,""
o1egl__paseto,3,4,4,yes,0,0,""
json-iterator__go,2,2,2,yes,0,0,""
containers__podman-tui,16,128,128,yes,0,0,""
