github.com/surrealdb/surrealdb.go
github.com/creack/pty v1.1.9
github.com/davecgh/go-spew v1.1.1
github.com/dolthub/maphash v0.1.0
github.com/fxamacker/cbor/v2 v2.7.0
github.com/gofrs/uuid v4.4.0+incompatible
github.com/golang-jwt/jwt/v5 v5.3.0
github.com/gorilla/websocket v1.5.3
github.com/klauspost/compress v1.17.9
github.com/kr/pretty v0.3.1
github.com/kr/pty v1.1.1
github.com/kr/text v0.2.0
github.com/lxzan/gws v1.8.9
github.com/pkg/diff v0.0.0-20210226163009-20ebb0f2a09e
github.com/pmezard/go-difflib v1.0.0
github.com/rogpeppe/go-internal v1.10.0
github.com/stretchr/objx v0.5.0
github.com/stretchr/testify v1.8.4
github.com/x448/float16 v0.8.4
gopkg.in/check.v1 v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3 v3.0.1
