github.com/AlekSi/pointer	v1.2.0
github.com/denisenkom/go-mssqldb	v0.10.0
github.com/go-sql-driver/mysql	v1.6.0
github.com/golang-sql/civil	v0.0.0-20190719163853-cb61b32ac6fe
github.com/jackc/pgx	v3.6.2+incompatible
github.com/lib/pq	v1.8.0
github.com/mattn/go-sqlite3	v1.14.0
github.com/pkg/errors	v0.9.1
golang.org/x/crypto	v0.0.0-20190325154230-a5d413f7728c
