Cloning into '/home/user/SBOM/work/authzed__spicedb'...
go: downloading go1.26.4 (linux/amd64)
go: downloading github.com/grpc-ecosystem/go-grpc-middleware/v2 v2.3.3
go: downloading google.golang.org/grpc v1.80.0
go: downloading github.com/rs/zerolog v1.34.0
go: downloading github.com/grpc-ecosystem/go-grpc-middleware v1.4.0
go: downloading github.com/spf13/cobra v1.10.2
go: downloading github.com/authzed/authzed-go v1.9.0
go: downloading github.com/authzed/ctxkey v0.0.0-20250226155515-d49f99185584
go: downloading github.com/sercand/kuberesolver/v5 v5.1.1
go: downloading go.opentelemetry.io/otel v1.43.0
go: downloading github.com/stretchr/testify v1.11.1
go: downloading google.golang.org/protobuf v1.36.11
go: downloading go.opentelemetry.io/otel/trace v1.43.0
go: downloading github.com/Masterminds/semver v1.5.0
go: downloading github.com/authzed/jitterbug v0.0.0-20260128162915-e97d76daaa24
go: downloading github.com/google/uuid v1.6.0
go: downloading github.com/ccoveille/go-safecast/v2 v2.0.0
go: downloading github.com/Masterminds/squirrel v1.5.4
go: downloading github.com/IBM/pgxpoolprometheus v1.1.2
go: downloading github.com/jackc/pgx/v5 v5.9.2
go: downloading github.com/creasty/defaults v1.8.0
go: downloading github.com/prometheus/client_golang v1.23.2
go: downloading golang.org/x/sync v0.20.0
go: downloading golang.org/x/time v0.15.0
go: downloading github.com/shopspring/decimal v1.4.0
go: downloading github.com/hashicorp/go-memdb v1.3.5
go: downloading k8s.io/utils v0.0.0-20250604170112-4c0f3b243397
go: downloading github.com/go-sql-driver/mysql v1.9.3
go: downloading resenje.org/singleflight v0.4.3
go: downloading github.com/exaring/otelpgx v0.9.3
go: downloading github.com/jackc/pgx-zerolog v0.0.0-20230315001418-f978528409eb
go: downloading github.com/mattn/go-isatty v0.0.22
go: downloading github.com/ngrok/sqlmw v0.0.0-20220520173518-97c9c04efc79
go: downloading github.com/cenkalti/backoff/v5 v5.0.3
go: downloading github.com/benbjohnson/clock v1.3.5
go: downloading github.com/schollz/progressbar/v3 v3.19.0
go: downloading cloud.google.com/go/spanner v1.89.0
go: downloading github.com/caio/go-tdigest/v4 v4.1.0
go: downloading github.com/cloudspannerecosystem/spanner-change-streams-tail v0.3.1
go: downloading cloud.google.com/go v0.123.0
go: downloading google.golang.org/genproto/googleapis/rpc v0.0.0-20260414002931-afd174a4e478
go: downloading github.com/puzpuzpuz/xsync/v4 v4.2.0
go: downloading google.golang.org/api v0.275.0
go: downloading github.com/samber/slog-zerolog/v2 v2.9.0
go: downloading google.golang.org/genproto v0.0.0-20260406210006-6f92a3bedf2d
go: downloading go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc v0.68.0
go: downloading github.com/authzed/grpcutil v0.0.0-20240123194739-2ea1e3d2d98b
go: downloading go.opentelemetry.io/otel/exporters/prometheus v0.62.0
go: downloading go.opentelemetry.io/otel/sdk/metric v1.43.0
go: downloading github.com/cespare/xxhash/v2 v2.3.0
go: downloading go.uber.org/mock v0.6.0
go: downloading go.opentelemetry.io/otel/sdk v1.43.0
go: downloading github.com/authzed/cel-go v0.20.2
go: downloading github.com/jeroenrinzema/psql-wire v0.17.0
go: downloading github.com/lib/pq v1.12.3
go: downloading github.com/pganalyze/pg_query_go/v6 v6.1.0
go: downloading github.com/authzed/consistent v0.2.0
go: downloading github.com/bmizerany/perks v0.0.0-20230307044200-03f9df79da1e
go: downloading github.com/wasilibs/go-pgquery v0.0.0-20250409022910-10ac41983c07
go: downloading go.uber.org/atomic v1.11.0
go: downloading github.com/grpc-ecosystem/grpc-gateway/v2 v2.29.0
go: downloading github.com/jzelinskie/persistent v0.0.0-20230816160542-1205ef8f0e15
go: downloading go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp v0.68.0
go: downloading github.com/sourcegraph/go-lsp v0.0.0-20240223163137-f80c5dd31dfd
go: downloading github.com/sourcegraph/jsonrpc2 v0.2.1
go: downloading github.com/odigos-io/go-rtml v0.0.1
go: downloading github.com/dalzilio/rudd v1.1.1-0.20230806153452-9e08a6ea8170
go: downloading github.com/lithammer/fuzzysearch v1.1.8
go: downloading buf.build/go/protovalidate v1.1.3
go: downloading buf.build/gen/go/prometheus/prometheus/protocolbuffers/go v1.36.10-20251118093737-4105057cc7d4.1
go: downloading github.com/golang/snappy v1.0.0
go: downloading github.com/jzelinskie/cobrautil/v2 v2.0.0-20240819150235-f7fe73942d0f
go: downloading github.com/ory/dockertest/v3 v3.12.0
go: downloading github.com/prometheus/client_model v0.6.2
go: downloading github.com/jzelinskie/stringz v0.0.3
go: downloading github.com/prometheus/common v0.67.5
go: downloading google.golang.org/genproto/googleapis/api v0.0.0-20260414002931-afd174a4e478
go: downloading github.com/maypok86/otter/v2 v2.3.0
go: downloading github.com/fatih/color v1.19.0
go: downloading github.com/spf13/pflag v1.0.10
go: downloading github.com/go-logr/zerologr v1.2.3
go: downloading github.com/KimMachineGun/automemlimit v0.7.5
go: downloading github.com/muesli/mango-cobra v1.3.0
go: downloading github.com/felixge/fgprof v0.9.5
go: downloading github.com/muesli/roff v0.1.0
go: downloading github.com/grpc-ecosystem/go-grpc-middleware/providers/prometheus v1.1.0
go: downloading github.com/mostynb/go-grpc-compression v1.2.3
go: downloading github.com/aws/aws-sdk-go-v2 v1.40.1
go: downloading github.com/rs/cors v1.11.1
go: downloading github.com/aws/aws-sdk-go-v2/config v1.32.3
go: downloading github.com/sean-/sysexits v1.0.0
go: downloading github.com/aws/aws-sdk-go-v2/feature/rds/auth v1.6.15
go: downloading go.opentelemetry.io/contrib/propagators/b3 v1.20.0
go: downloading go.opentelemetry.io/contrib/propagators/ot v1.20.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc v1.43.0
go: downloading go.yaml.in/yaml/v3 v3.0.4
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp v1.43.0
go: downloading go.opentelemetry.io/otel/exporters/otlp/otlptrace v1.43.0
go: downloading github.com/rs/xid v1.6.0
go: downloading buf.build/gen/go/bufbuild/protovalidate/protocolbuffers/go v1.36.11-20260415201107-50325440f8f2.1
go: downloading github.com/planetscale/vtprotobuf v0.6.1-0.20240917153116-6f2963f01587
go: downloading github.com/bits-and-blooms/bloom/v3 v3.7.1
go: downloading golang.org/x/mod v0.35.0
go: downloading github.com/go-errors/errors v1.5.1
go: downloading github.com/mattn/go-colorable v0.1.14
go: downloading pgregory.net/rapid v1.2.0
go: downloading github.com/fsnotify/fsnotify v1.9.0
go: downloading github.com/envoyproxy/protoc-gen-validate v1.3.3
go: downloading github.com/envoyproxy/go-control-plane/envoy v1.37.0
go: downloading github.com/go-logr/logr v1.4.3
go: downloading go.opentelemetry.io/otel/metric v1.43.0
go: downloading github.com/emirpasic/gods v1.18.1
go: downloading go.uber.org/goleak v1.3.0
go: downloading github.com/lann/builder v0.0.0-20180802200727-47ae307949d0
go: downloading github.com/jackc/pgservicefile v0.0.0-20240606120523-5a60cdf6a761
go: downloading golang.org/x/text v0.37.0
go: downloading github.com/jackc/puddle/v2 v2.2.2
go: downloading github.com/hashicorp/go-immutable-radix v1.3.1
go: downloading github.com/beorn7/perks v1.0.1
go: downloading github.com/prometheus/procfs v0.20.1
go: downloading filippo.io/edwards25519 v1.1.1
go: downloading golang.org/x/net v0.55.0
go: downloading github.com/davecgh/go-spew v1.1.2-0.20180830191138-d8f796af33cc
go: downloading github.com/pmezard/go-difflib v1.0.1-0.20181226105442-5d4384ee4fb2
go: downloading github.com/stretchr/objx v0.5.3
go: downloading golang.org/x/sys v0.45.0
go: downloading github.com/mitchellh/colorstring v0.0.0-20190213212951-d06e56a500db
