github.com/born-ml/born
github.com/davecgh/go-spew v1.1.1
github.com/dlclark/regexp2 v1.11.5
github.com/go-webgpu/goffi v0.5.2
github.com/go-webgpu/webgpu v0.5.1
github.com/gogpu/gputypes v0.5.0
github.com/gogpu/naga v0.17.13
github.com/gogpu/wgpu v0.29.0
github.com/google/uuid v1.6.0
github.com/pkoukk/tiktoken-go v0.1.8
github.com/pmezard/go-difflib v1.0.0
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.11.1
golang.org/x/sys v0.45.0
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.1
