github.com/Xuanwo/go-locale	v1.1.0
github.com/antlr4-go/antlr/v4	v4.13.0
github.com/davecgh/go-spew	v1.1.1
github.com/fsnotify/fsnotify	v1.4.9
github.com/google/go-cmp	v0.5.8
github.com/gopherjs/gopherjs	v1.17.2
github.com/inconshreveable/mousetrap	v1.0.0
github.com/jtolds/gls	v4.20.0+incompatible
github.com/neelance/astrewrite	v0.0.0-20160511093645-99348263ae86
github.com/neelance/sourcemap	v0.0.0-20200213170602-2833bce08e4c
github.com/pmezard/go-difflib	v1.0.0
github.com/shurcooL/go	v0.0.0-20200502201357-93f07166e636
github.com/shurcooL/httpfs	v0.0.0-20190707220628-8d4bc4ba7749
github.com/shurcooL/vfsgen	v0.0.0-20200824052919-0d455de96546
github.com/sirupsen/logrus	v1.8.1
github.com/smarty/assertions	v1.15.0
github.com/smartystreets/assertions	v0.0.0-20180927180507-b2de0cb4f26d
github.com/smartystreets/goconvey	v1.8.1
github.com/spf13/cobra	v1.2.1
github.com/spf13/pflag	v1.0.5
github.com/stretchr/objx	v0.5.0
github.com/stretchr/testify	v1.8.4
golang.org/x/crypto	v0.0.0-20210711020723-a769d52b0f97
golang.org/x/exp	v0.0.0-20230515195305-f3d0a9c9a5cc
golang.org/x/mod	v0.17.0
golang.org/x/net	v0.0.0-20190311183353-d8887717615a
golang.org/x/sync	v0.12.0
golang.org/x/sys	v0.31.0
golang.org/x/term	v0.0.0-20201126162022-7de9c90e9dd1
golang.org/x/text	v0.23.0
golang.org/x/tools	v0.21.1-0.20240508182429-e35e4ccd0d2d
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
