github.com/andybalholm/brotli	v1.2.0
github.com/bdandy/go-errors	v1.2.2
github.com/cloudflare/circl	v1.6.2
github.com/fatih/color	v1.18.0
github.com/gaukas/clienthellod	v0.4.2
github.com/gaukas/godicttls	v0.0.4
github.com/google/gopacket	v1.1.19
github.com/klauspost/compress	v1.18.2
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/miekg/dns	v1.1.59
github.com/noooste/fhttp	v1.0.15
github.com/noooste/go-socks4	v0.0.2
github.com/noooste/uquic-go	v1.0.5
github.com/noooste/utls	v1.3.20
github.com/noooste/websocket	v1.0.3
github.com/patrickmn/go-cache	v2.1.0%2Bincompatible
github.com/quic-go/qpack	v0.6.0
github.com/refraction-networking/utls	v1.8.1
github.com/txthinking/runnergroup	v0.0.0-20250224021307-5864ffeb65ae
github.com/txthinking/socks5	v0.0.0-20251011041537-5c31f201a10e
golang.org/x/crypto	v0.46.0
golang.org/x/exp	v0.0.0-20250506013437-ce4c2cf36ca6
golang.org/x/net	v0.48.0
golang.org/x/sys	v0.39.0
golang.org/x/text	v0.32.0
