github.com/aws/aws-sdk-go	v1.43.21
github.com/fortytw2/leaktest	v1.3.0
github.com/go-kit/kit	v0.10.0
github.com/go-logr/logr	v1.2.2
github.com/go-logr/stdr	v1.2.2
github.com/golang/groupcache	v0.0.0-20210331224755-41bb18bfe9da
github.com/google/go-cmp	v0.5.7
github.com/google/uuid	v1.3.0
github.com/jmespath/go-jmespath	v0.4.0
github.com/josharian/intern	v1.0.0
github.com/mailru/easyjson	v0.7.7
github.com/olivere/elastic/v7/recipes	
github.com/olivere/env	v1.1.0
github.com/opentracing/opentracing-go	v1.2.0
github.com/pkg/errors	v0.9.1
github.com/smartystreets/assertions	v1.1.1
github.com/smartystreets/go-aws-auth	v0.0.0-20180515143844-0c1422d1fdb9
github.com/smartystreets/gunit	v1.4.2
github.com/smartystreets/gunit	v1.4.3
github.com/uber/jaeger-client-go	v2.25.0%2Bincompatible
github.com/uber/jaeger-lib	v2.2.0%2Bincompatible
github.com/vividcortex/gohistogram	v1.0.0
go.opencensus.io	v0.23.0
go.opentelemetry.io/otel	v1.5.0
go.opentelemetry.io/otel/exporters/jaeger	v1.5.0
go.opentelemetry.io/otel/sdk	v1.5.0
go.opentelemetry.io/otel/trace	v1.5.0
go.uber.org/atomic	v1.6.0
golang.org/x/sync	v0.0.0-20210220032951-036812b2e83c
golang.org/x/sys	v0.0.0-20211216021012-1d35b9e2eb4e
