repo,req_total,req_direct,req_indirect,sum_paths,sum_pairs,sum_only,sum_minus_req
thoas__picfit,97,24,73,227,780,130,130
getlantern__systray,6,4,2,17,18,11,11
vadiminshakov__committer,28,7,21,35,41,7,7
benthosdev__benthos,543,216,327,894,1962,352,351
cshum__imagor,100,24,76,152,231,52,52
tricksterproxy__trickster,257,33,224,362,820,105,105
jmorganca__ollama,94,38,56,169,340,75,75
barweiss__go-tuple,5,2,3,6,6,1,1
shoriwe__fullproxy,41,9,32,60,111,19,19
wellington__wellington,9,8,1,105,141,96,96
vahiiiid__go-rest-api-boilerplate,76,20,56,114,165,38,38
orlangure__gnomock,137,33,104,184,303,47,47
dtgorski__typex,3,1,2,4,4,1,1
go-music-theory__music-theory,5,3,2,6,6,1,1
joakimcarlsson__bonk,12,3,9,22,22,10,10
elgohr__go-localstack,81,33,48,108,121,27,27
borderstech__artifex,5,2,3,5,6,0,0
dgraph-io__ristretto,8,5,3,9,9,1,1
joerdav__xc,26,6,20,40,53,14,14
Andrew-M-C__go.jsonvalue,2,2,0,10,10,8,8
pebbe__textcat,1,1,0,1,1,0,0
42Atomys__webhooked,31,11,20,179,413,148,148
cockroachdb__pebble,55,34,21,153,248,98,98
monaco-io__request,3,1,2,6,8,3,3
ardanlabs__service,68,20,48,106,114,38,38
ajvb__kala,32,25,7,234,457,202,202
rookie-ninja__rk-boot,40,3,37,108,492,68,68
xuri__xgen,6,2,4,8,10,2,2
bart6114__cheek,37,12,25,52,61,15,15
shomali11__util,2,2,0,4,4,2,2
tendermint__tendermint,258,43,215,549,1486,291,291
lni__dragonboat,42,14,28,221,444,179,179
Kachit__appstore-sdk-go,4,4,0,9,9,5,5
xyproto__algernon,120,53,67,159,226,39,39
nats-io__nats.go,5,3,2,5,5,0,0
Eun__go-convert,2,2,0,7,7,5,5
chrispassas__nfdump,1,1,0,2,2,1,1
arduino__arduino-cli,192,41,151,228,263,37,36
peterstace__simplefeatures,2,1,1,2,2,0,0
gorgonia__gorgonia,24,16,8,124,351,100,100
rapito__go-spotify,27,4,23,103,475,76,76
asciimoo__colly,19,12,7,33,113,14,14
Hossiy21__razify,8,3,5,12,13,4,4
jvcoutinho__lit,7,4,3,8,9,1,1
pressly__goose,80,19,61,146,252,66,66
Gituser143__cryptgo,18,10,8,183,323,165,165
nakagami__firebirdsql,8,5,3,9,9,1,1
cortesi__devd,27,12,15,39,48,12,12
valyala__quicktemplate,4,2,2,17,69,13,13
truemail-rb__truemail-go,15,5,10,20,84,5,5
gentee__gentee,4,2,2,7,7,3,3
janiltonmaciel__statiks,44,6,38,62,102,18,18
AfterShip__email-verifier,12,5,7,15,16,3,3
peterh__liner,2,2,0,2,2,0,0
inconshreveable__log15,3,2,1,3,3,0,0
nstratos__go-myanimelist,1,1,0,2,2,1,1
PaddleHQ__go-aws-ssm,4,2,2,9,10,5,5
samber__slog-multi,9,4,5,12,13,3,3
miguelmota__golang-for-nodejs-developers,5,5,0,64,97,59,59
embano1__memlog,4,3,1,4,4,0,0
