Cloning into '/home/user/SBOM/work/flowbaker__flowbaker'...
go: downloading go1.25.0 (linux/amd64)
go: downloading github.com/gofiber/fiber/v3 v3.1.0
go: downloading github.com/rs/zerolog v1.34.0
go: downloading github.com/spf13/cobra v1.10.1
go: downloading github.com/charmbracelet/bubbles v0.21.0
go: downloading github.com/charmbracelet/bubbletea v1.3.4
go: downloading github.com/charmbracelet/huh v0.7.0
go: downloading golang.org/x/crypto v0.48.0
go: downloading go.mongodb.org/mongo-driver v1.17.6
go: downloading github.com/anthropics/anthropic-sdk-go v1.18.1
go: downloading github.com/sashabaranov/go-openai v1.41.2
go: downloading google.golang.org/genai v1.40.0
go: downloading github.com/google/jsonschema-go v0.4.2
go: downloading github.com/spf13/viper v1.21.0
go: downloading github.com/dop251/goja v0.0.0-20250630131328-58d95d85e994
go: downloading github.com/redis/go-redis/v9 v9.12.1
go: downloading github.com/santhosh-tekuri/jsonschema/v5 v5.3.1
go: downloading github.com/gofiber/fiber/v2 v2.52.13
go: downloading github.com/gosimple/slug v1.15.0
go: downloading golang.org/x/oauth2 v0.34.0
go: downloading github.com/google/go-github/v57 v57.0.0
go: downloading github.com/xanzy/go-gitlab v0.115.0
go: downloading google.golang.org/api v0.231.0
go: downloading github.com/andygrunwald/go-jira v1.16.0
go: downloading github.com/golang-jwt/jwt/v5 v5.3.0
go: downloading github.com/hasura/go-graphql-client v0.14.4
go: downloading github.com/xuri/excelize/v2 v2.10.0
go: downloading github.com/resend/resend-go/v2 v2.23.0
go: downloading github.com/aws/aws-sdk-go v1.55.8
go: downloading github.com/slack-go/slack v0.17.3
go: downloading github.com/stripe/stripe-go/v82 v82.5.0
go: downloading github.com/Azure/azure-sdk-for-go/sdk/azcore v1.20.0
go: downloading github.com/snowflakedb/gosnowflake v1.18.1
go: downloading github.com/youmark/pkcs8 v0.0.0-20240726163527-a2c0da244d78
go: downloading github.com/microsoft/kiota-abstractions-go v1.9.3
go: downloading github.com/microsoft/kiota-authentication-azure-go v1.3.1
go: downloading github.com/microsoft/kiota-serialization-json-go v1.1.2
go: downloading github.com/microsoftgraph/msgraph-sdk-go v1.89.0
