github.com/briandowns/spinner	v1.9.0
github.com/chzyer/readline	v0.0.0-20180603132655-2972be24d48e
github.com/fatih/color	v1.7.0
github.com/geoffgarside/ber	v0.0.0-20190912223231-00c19d63973f
github.com/gizak/termui	v2.3.0+incompatible
github.com/google/gopacket	v1.1.17
github.com/gorilla/mux	v1.7.4
github.com/k-sone/snmpgo	v3.2.0+incompatible
github.com/maruel/panicparse	v1.3.0
github.com/mattn/go-colorable	v0.1.2
github.com/mattn/go-isatty	v0.0.8
github.com/mattn/go-runewidth	v0.0.8
github.com/miekg/dns	v1.1.27
github.com/mitchellh/go-wordwrap	v1.0.0
github.com/nsf/termbox-go	v0.0.0-20200204031403-4d2b513ad8be
github.com/olekukonko/tablewriter	v0.0.4
github.com/rakyll/statik	v0.1.6
golang.org/x/crypto	v0.0.0-20191011191535-87dc89f01550
golang.org/x/net	v0.0.0-20200219183655-46282727080f
golang.org/x/sys	v0.0.0-20190924154521-2837fb4f24fe
